esp,ing,parte
"isidoro chasoy chasoy, mateo chasoy chasoy (exgobernadores) maria esperanza jacanamijoy jansasoy, jaime peña jamioy y clemencia chasoy (líderes) quienes me colaboraron como cotraductores y se dedicaron de tiempo completo hasta finalizar el proyecto","chikari manaka, mana iacharkakunachu niwanga, nispami paikunatapas, pai siñursitu iukani ninga",carta_traductor
"esperando tener mucho eco, atentamente,",chasa kagmandami mandanakunchi tukuikuna apispa riichi: 1,carta_gobernadores
"en todo caso de incompatibilidad entre la constitución y la ley u otra norma jurídica, se aplicarán las disposiciones constitucionales","mana achka iachag pangakuna suma tukuskata u mana achka iachag pangapa wawa suma kagpika, nukanchita iuiachigkunami iuiachinga, imasa kangata u maikan mas iacha pangata iuiachingata",articulos
jon landaburu (cnrs) director del centro colombiano de estudios de lenguas aborígenes (ccela),"ikuti sumaglla tukuspa chi rimaita u rimaikunata, imasa nukanchipa rimaipi allilla kangasina ialichispa churaspa apanga, allilla nukanchipa simipisina uiaringapa",coordinador
"solo se hizo la traducción en siete lenguas : el wayúnaiki de la guajira, el nasa yuwe o páez del cauca, el guambiano del cauca, el ika o arhuaco de la sierra nevada de santa marta, el camentsa y el inga de sibundoy, el cubeo del vaupés","iurakunapa rimaika nukanchipa simima mana ialichidur karkakunachu, kunaura musugllami chasa ruranakunchi",coordinador
los municipios participarán en los ingresos corrientes de la nación,"wawa llagtata katiraiagkunapasmi kulki chaskingakuna, runakuna kaugsadiru atun llagtata",articulos
en tal virtud tendrán los siguientes derechos:,chasa apachiraigmandami kaikuna chaskingapa kankuna,articulos
"muy satisfactorio también sentir la vitalidad de estos pueblos antiguos, emprendiendo nuevos caminos de entendimiento del mundo de hoy, que sean a la vez nuevos caminos de profundización de su memoria","paikunapa iuaimanda, iaiaimanda, kulkukunamanda, rinri kaugchuikunamanda tiaskata mana kungaringapa",coordinador
692 cúcuta gobernador del cabildo inga de santiago,"chi nukanchipa simipi ialichigka, ajaimi nukanchipa simita suma iachá",carta_gobernadores
carta del señor presidente de la república de colombia,paipa makiwa kalpachispa kuaskata rigsisunchi,presidencia
depart digitalizado por sistema de bibliotecas-universidad de los andes,"kai iachag pangakunaka tukui kai atun llagtapi kaugsag, nukanchipura runakunami iukanchi, chitami sutichinchi, nukanchipa ""achka iachag panga""",favorable
la circunscripción especial para la elección de senadores por las comunidades indígenas se regirá por el sistema de cuociente electoral,"iurakuna sakingapami kankuna, nukanchipa iskai mas atun awanigmanda kawagkunata, maikan mas achka maitu mirachiskata",articulos
"son derechos fundamentales de los niños: la vida, la integridad física, la salud y la seguridad social, la alimentación equilibrada, su nombre y nacionalidad, tener una familia y no ser separados de ella, el cuidado y amor, la educación y la cultura, la recreación y la libre  expresión de su opinión","kai suma iuiaspa kaugsai wawakunata mana iukancichu pisichinga, kuirpupi ñimapas mana iukanchi pisinga, mana ungug kangapa i nukanchi runapura kaugsaskapi  xxonai  anderson  allilla kangapa, alli mikui mikungapa, atunkuna iukangapa, atunkunapagmanda mana llugsichii tukungapakuna, kuiai tukuspa i sumaglla munanakuspa, iachaikui i tukuikunapa iuiai i kaugsai pugllai paikuna imasa munaskasina u imasa iuiaskasina rimangapa",articulos
"esa misma felicidad que desde entonces anima el corazón de los colombianos, esa satisfacción que sentimos quienes hemos luchado sin tregua por construir una patria abierta a la participación, que no excluya a nadie, que cobije por igual a pobres y a ricos, a fuertes y a débiles, a los que han sido gestores de nuestra historia, cobra un especial sentido con la publicación de nuestra carta magna a siete lenguas indígenas","chi punchaka, sug musu iuiami nukanchipa atun llagta kulumbia sutipi kallarirka",presidencia
"el estado tiene el deber de promover y fomentar el acceso a la cultura de todos los colombianos en igualdad de oportunidades, por medio de la educación permanente, y la enseñanza científica, técnica, artística y profesional en todas las etapas del proceso de creación de la identidad nacional","atun llagta tukuikunatami iuka rigsichinga, tukuikunapa iuiai i kaugsaita, sug rigcha kaugsaikunawanta tukui kai alpapi kaugsaskakuna, kati katilla iachachispa, sumaglla kawachispa, paikuna imasa rurangapa pudingasina, imasa mama llagtamandakuna iuiaskasina",articulos
""", entre las tribus indo-europeas de la antigüedad, entre griegos y latinos y también entre pueblos de otras tradiciones que se inventaron esta clase de nociones y palabras cuando el uso de la escritura y el acercamiento al mundo de las ciudades los impulsó a formalizar y desarrollar sus instituciones políticas, religiosas, económicas y penales","iachachigkuna, ambigkuna, mukanchimanda rimagkuna i tukui iurakuna imasa kaugsaska, iuiaskata rigsigkuna",coordinador
la ley podrá establecer una circunscripción especial para asegurar la participación en la cámara de representantes de los grupos étnicos y de las minorías políticas y de los colombianos residentes en el exterior,"achka iachag pangakunapa wawami churanga, imasa nukanchipapura runallata agllangapa kagta, chimi nukanchipas iukasunchi awanigmanda kawadurkunata katiraigkuna, ianakunapas nukanchisinami iukankuna agllanga, sug iurakuna i nukanchipa runakunapas sug llagtapi kausagkuna chasallatami agllangakuna",articulos
"la familia, la sociedad y el estado tienen la obligación de asistir y proteger al niño para garantizar su desarrollo armónico e integral y el ejercicio pleno de sus derechos","michami wawakunata wagllichingapa kikinkunata, paikunapa iuiaita, pakaspa upalla pusangapa, wawakunapa kuirputa trabisiangapapas askurintimi micha, katui, paikuna ruraskata apirii, ianga trabajachii, kulkita apiripungapa, ña wañungasina rurainigta ganaskata",articulos
2,"atun llagtapi charig runakunata agllai apanakura, nukanchipasmi iukanchi agllanga, nukanchimanda mas suma kangapa tapuchii tiaura chipipasmi tukui nukanchi runakuna iukanchi kagringa",articulos
"la conformación de las entidades territoriales indígenas se hará con sujeción a lo dispuesto en la ley orgánica de ordenamiento territorial, y su delimitación se hará por el gobierno nacional con participación de los representantes de las comunidades indígenas, previo concepto de la comisión de ordenamiento territorial",atun (329),articulos
"la práctica de sus textos mitológicos, de sus cantos, de su arte de contar nos habían convencido del gran valor estético, literario y de sabiduría de sus tradiciones","ña chi rimaikunata kaipi iachaikunakuska, chunga watami ka",coordinador
"los pueblos indígenas por siempre hemos tenido nuestras leyes auténticas, esas forman nuestra constitución basada en el derecho natural","nukanchita imakuna chaiaska iukangapa u mañangapa, ianga pangakunallapimi niraiarka, mana nukanchita imapas kuaspalla, paikunaka nukanchita mana balichispalla, nispasi paikuna ima munaska ruradur karkakuna",favorable
"la soberanía reside exclusivamente en el pueblo, del cual emana el poder público","nukanchi imasa munaskasinami iuianchi kaugsanga kai alpapi tukui kaugsagkuna, nispami tukui nukanchita iuiachigkunata ialichinchi",articulos
"la anterior constitución por haber sido escrita, casi por una sola persona y a nombre de un solo partido, ni siquiera contemplaba nuestros derechos ancestrales, ignorando nuestra existencia en la vida jurídica de colombia","kai kimsa nukanchipura runakunapasmi iurakunawa tiarirkakuna, chi achka iachag pangakunata surkungapa",favorable
para hacer efectivo este derecho puede: 1,"sumaglla imasa nukanchipa umawa sumaglla iuiarispami iukanchi mañanga, maikan mas alli atun suma atun llagtapi kaugsagkunata agllanga, nukanchipa atun kangapa; chimi chasallata nukanchitapas allilla iuiarispa maskangakuna",articulos
artículo transitorio 45,suiuchiita allichispa kawachig (transitorio 45),articulos
"el estado promoverá la investigación, la ciencia, el desarrollo y la difusión de los valores culturales de la nación","atun llagtaka iukami maskanga sugkuna imasa kaugsanakugta rigsiikuna, imasa mas nukanchi iacha kangapa, chimi mas suma wiñachispa apasunchi, nispa pudinchimi sugkunata kawachinga, nukanchi imasa kaugsai iuiai iukagta",articulos
francisco tandioy francisco tandioy jansasoy responsable de la traducción,digitalizado por sistema de bibliotecas-universidad de los andes,favorable
"nuestra constitución fue expedida en 1991, por un grupo de 70 personas de distintas regiones del país, pertenecientes a diversos partidos y movimientos políticos entre las cuales participaron tres indígenas","kai achka iachag pangakunata surkurkakunami nukanchi sugmalla, mana piñanakuspalla nukanchipa llagtapi tukuikuna kaugsangapa",favorable
para nosotros este trabajo fue una experiencia muy satisfactoria,"kaikunataka griegokuna i latinokuna sutikunasi maikiwa kalchispa churaspa, churaspa apachii kallarirkakuna, tukuikunata rigsichingapa",coordinador
"por lo tanto, no vacilo en afirmar que este texto encarna el espíritu que animó la labor de los constituyentes: tenemos derecho a vivir en un país que como éste, sea amplio, tolerante y lo suficientemente democrático, para que todos tengamos un lugar bajo el sol de colombia",kai achka lachag panga mana ñi imapa mana balingapa kagta nigkunaka diltudumi limpu pandarispa karkajimikuna,presidencia
con este ánimo y para darla a conocer a nuestras comunidades fueron escritos en inga algunos apartes de la constitución,"manara iurakuna nukanchipa alpama samugpimi, nukanchipas achka iachag pangakuna iukarkanchi i charami iukanchi, manara wañuska kapunchichu, kunauraka iukanchimi kaugsachispa apanga, chika kami, nukanchi imasa kaugsaskasina u iuiaskasina kaugsadiru",favorable
el estado reconoce y protege la diversidad étnica y cultural de la nación colombiana,"tukui sug rigcha kaugsag runakunatami atun llagta muná, i kawá, paikunapa imasa kaugsai i iuiai iukaskawa kai kulumbia llagta suti kaskapi u kai mama llagtapi",articulos
el consejo nacional y los consejos territoriales de planeación constituyen el sistema nacional de planeación,"paikunataka pusag watapami agllanga chusku wata kaura sug maillakunatami pudinkuna trukanga, imasa achka iachag as masa fa pangakunapa wawa niskasina",articulos
para ser elegido representante se requiere ser ciudadano en ejercicio y tener más de veinticinco años de edad en la fecha de la elección,"kai llagtapi awanigmanda kawadurta katiraig tiarigringapa, pai iukami nukanchipa llagtamanda i mana mana  nukanchipa taitakunapagnigta u iurakunapagnigta iuiachispa purichiska kanga",articulos
la mujer no podrá ser sometida a ninguna clase de discriminación,warmita mana pudinchichu laduma churanga,articulos
"agradecimiento profundo a mi familia, quienes siempre me apoyaron, sacrificando sus vacaciones y fines de semana sin contar con mi presencia, con el fin de que yo pueda dedicarme de lleno a mi trabajo",nukanchipagmanda taita ubirnadurkunatami pai siñursitu iukani ninga,carta_traductor
el juez ante quien se interponga la acción de tutela tiene un plazo límite de diez (10) dias para resolver la reclamación,kaika pusag chunga sugta suiuchiipimi niraiá,articulos
el consejo tendrá carácter consultivo y servirá de foro para la discusión del plan nacional de desarrollo,kai sugllapi tukuska runakunaka willaspa mañangakuna suma iuiarispa mirachig runakunata imakuna ministiskata,articulos
"santiago, putumayo, septiembre 26 de 1993","santiago putumayo, septiembre 26 de 1993",carta_gobernadores
"ahora al ser consagrados en la constitución, existen más garantías para que sean respetados",chi iuiaikunaka achka iachag pangakunapimi makiwa kalpachispa sakirkakuna,favorable
la constitución colombiana nos dice cuáles son nuestros derechos y la manera de protegerlos y exigir su cumplimiento,"tukui nukanchipa runakuna, sug llagtakunapa pundirichu kaugsakuna u sug ladu chimba ialispa kaugsakunatapasmi iukanchi ninga; nukanchipa atun llagtamandami kankuna, ña chasa niraiangapa, chi atunkuna nukachita charig iurapura, paipurami rimanakunga, imasa paipura rimanakuskasina i makiwa pangapi kalpachispa wakachiska iukankuna chasa",articulos
"durante el embarazo y después del parto gozará de especial asistencia y protección del estado, y recibirá de éste subsidio alimentario si entonces estuviere desempleada o desamparada","wawawa ungug kaura i ña wamra iukaskauramanda atun llagta iukami, ima ministiska ialinchinga, mana ñi pipas kawangapa tiagpika u mana ñima iukagpika",articulos
para hacer efectiva la protección de estos derechos existen unos mecanismos que podemos utilizar las personas directamente o por medio de un abogado,"tukui runakumanda, kaugsai, iapa ministidumi ká",articulos
artículos relativos a los planes de desarrollo,suma iuiarispa mirachii,titulos_constitucion
artículos relativos a los derechos de las lenguas y las culturas de los pueblos de colombia,"nukanchipa simikunamanda, imasa runakunamanda niraiaskasina",titulos_constitucion
"de igual manera, la política exterior de colombia se orientará hacia la integración latinoamericana y del caribe","imasa kikin wawa llagta, uchulla llagtakuna sumaglla tapuchiskasina, i sug atun llagtanigta suma iuiaspa kaugsaikunata nukanchipa kulumbia animuskata",articulos
esperamos que pronto se pueda dar una experiencia semejante en otras comunidades que lo deseen,"nukanchi mana iachanchichu maimanda kai niraiakuna kagta u apagmugtakuna: ima sugmalla kaugsangapa ministiska, achka iachag pangapa wawa, atun llagta, iura nukanchita mandaspa charig, iurakunapa pangata charig, nukanchi munaskasina agllaska i sug imakunapas",coordinador
"los símbolos de la casa, del cuerpo, de las direcciones del cósmos, de la firmeza, de la palabra sagrada como compromiso, y tantos otros, fueron así utilizados para este nuevo uso, así como lo fueran, en el nacimiento de la forma escrita del derecho donde quiera que apareciera","intiru wata mas, tukuikumamandapas mas iacha runakuna, sug mukanchipagmanda iacha runakunawa tuparispami, nukanchipa simima ialichii kallarirkakuna",coordinador
dan el estado promoverá las condiciones para que la igualdad sea real y efectiva y adoptará medidas en favor de grupos discriminados o marginados,"kari warmi parijumi iual  oxo  xx1888 nai  kanchi, mas sug rigcha kaugsakuna imapas, u sug simi u sug iuiai iukagkuna imapas u sug iuiaiug imapas",articulos
"la ley, sin embargo, establecerá un régimen gradual y progresivo de transición a partir de 1993 y por un período de tres años, al cabo del cual entrarán en vigencia los nuevos criterios de distribución señalados en el citado artículo","nukanchi agllaska nunakuna nukanchita iuiachingapa iukankunami kawachinga, atun llagtapi kagkunata imasa gastangapa kagta i sumaglla kawaspa mana suma kaskakunata, mana suma ruragpikuna,  anna  xx",articulos
"por eso, este texto no se conformó con convertir una palabra hispánica en otra indígena, sino que fue más allá en su esfuerzo; agregó a las normas constitucionales, la sabia filosofía de estos pueblos, enriqueciendo el sentido de los principios constitucionales",ña kai achka iachag pangata kanchis sugrigcha rimaikunapi surkuspa kuangapa,presidencia
"las autoridades de los pueblos indígenas podrán ejercer funciones jurisdiccionales dentro de su ámbito territorial, de conformidad con sus propias normas y procedimientos, siempre que no sean contrarios a la constitución y leyes de la república",nukanchi kikinpurata agllaska atun taitakunami iuiachingakuna nukanchipapurapa alpapika,articulos
"no solamente tuvimos, con la ayuda de los abogados, que aclarar, explicar y comentar el texto de la constitución sino que, para acercar este pensamiento a culturas que no han conocido sino hasta hace muy poco la escritura alfabética o una organización social en ciudades, tuvimos que averiguar el nacimiento en el mundo occidental de muchas de estas palabras e ideas jurídicas: averiguar con filólogos, estudiar con filósofos, comparar con antropólogos, qué significado originario tienen palabras como ""derecho, ley, estado, autoridad, ciudadanía, democracia, etc","sug iaika iurakunapa simimanda nukanchipa simima ialchiura sug rigchami iacha niraianga, nispami askurinti iacha i askurinti rigsigkunata sug rigcha rimaikunapa simima ialichingapa kuarkani, sugkunaka ka universidad de los andes sutipi iachaikui puchukaskakunami kankuna",coordinador
"las autoridades de la república están instituidas para proteger a todas las personas residentes en colombia, en su vida, honra, bienes, creencias y demás derechos y libertades, y para asegurar el cumplimiento de los deberes sociales del estado y de los particulares","tukuikunamanda ima ministiska maskapungapa, nisaka kawanga ari sutipachu kuankuna",articulos
presidencia de la república de colombia,santafé de bogotá d,presidencia
"santafé de bogotá, febrero de 1994",imasa nukanchipa wasi kagta,coordinador
el senado de la república estará integrado por cien miembros elegidos en circunscripción nacional,"kai atun llagtapi awanigmanda kawagkuna, patsa iurakunami iukankuna kanga, tukui kai atun llagtapi kaugsagkunata paipura maskachiriska",articulos
artículos relativos a la organización de los territorios,nukanchipa alpakuna imasa kangapa kagta,titulos_constitucion
