way,esp
TepeꞋe,Mi izquierda
Tasapo'ujee,Detrás de mí (quieto)
Yala,Allá (cerca)
SaꞋaya,Allá
Tachiirua,Detrás de mí (en movimiento)
¿Jalasü nipia püꞋlaülakai Andres?,¿Dónde vive tu tío Andrés?
¿Jaleerü te'itaain tü wotsakat?,¿Dónde coloco esta bolsa?
Pi'itaa yaajeeruꞋu.,Ponlo de este lado.
Jamayaa pia uuton.,Como estás nene.
"Jalainna, jüikalaa yaaya.","Vengan, siéntense acá."
¿Anasü yaaje?,¿Está bueno desde aquí? (camino)
Pi'itaa amüchiikalüirua suupuna meesakaa,Coloca las múcuras debajo de la mesa
Püshaja pasanain sünain karalo Ꞌutakaa sünülia tü mürüt pi Ꞌraajakaa.,Escribe en el medio de la hoja el nombre de los animales que conozcas
¿Eesü asalaa chaꞌaya sulu Ꞌu aikaaleekalü?,¿Hay carne allá en la tienda?
Chee'era yaajee.,Dámelo por aquí.
Pu'una cha'aya,Ve para allá.
Yaajee pia uuton,Acercate aquí nene (a)
Jalairü yaam üin.,Vente para acá .
"Cha'aya, Uuchipünaajee shipialu Ꞌujee Roosa.","De allá, al sur de la casa de Rosa."
"Süchikejee Majayü tpana, Jama piakai ¿Jalejeeshi pia?",Después de Majayutpana Y tú ¿de dónde vienes?
¿Jalasü eere kuleesiakaa?,¿Dónde queda la iglesia?
¿Jalejeesü pia?,¿De dónde vienes?
¿Jalasü kepiai n Roosa?,¿Dónde vive Rosa?
Cha'aya wa apüna.,Hacia el oeste.
¿Jama pi 'rüin Josefina?,¿Haz visto a Josefina?
"O'uneerü taya watta'a shipialu'umüin, p ümai sümüin . ",Le dices que mañana voy para su casa.
"Aa, ashijaasü wuinpejee sünain tepia.","Si, está lavando al este de mi casa."
Ounejaa,Llamar
anneerü,ovejo
Paaruuta,Animal macho
Uuchi,Cerro
Pajapü,Tu mano
Uujolu,Chicha
Palaajee,Desde el mar
Nüpoluin,El hacha de él
Palajana,Primero
Meruuna,Melón
Siruma,Nube
Pü'lakajaa,¡cocina!
O'unushi,Él se fue
Sawawa,Flauta
Süttüsü,Está cerrada
Seinjana,Vendrán
Suukala,Azúcar
Moo'utshii,Huérfanos
Irama,Venado
Na'apüla,Su arma
Shiishitaa,Estar grasiento
Naa'itkaa,La tía de él
Shijimein,El pescado de ella
Shiliwala,Estrella
Nulumase,Su enramada
Taapüla,Tabla
Talatüsü,Está contenta
O'oojoo,Bañarse
Tapüla,Para mí
Atpanaa,Conejo
Eirakawaa,Mirar
limuuna,limón
Eisalawaa,Acostarse
Ayatüsü,Es igual
Iipünaa,Arriba
Che'ujaasü,Hace falta
Iisho,Cardenal
Chikeera,"Cercado , corral"
Tasi'irain,Mi cinturón
Anouipa'a,Afuera
Tashunuu,Mi hermanita
Manneetsesai,No tengo dinero
Akotchajaa,Recoger
Amuuyuu,Cementerio
Pujuyaajira,Presta
Laülaa,Viejo
Aashaje'eraa,Leer
Majayülü,Señorita
Anneerü,ovejo
Mmatalü,tío
Tashunuu,hermanita
Warutta,naranjo
Kashi,calabaza
Jeꞌra,vamos
Waya,agua
Siki,leña
KasheꞋin,cascabel
Mapüi,arriba
WunuꞋu,abajo
Jatü,tú
Alijuna,blanco
Karalo Ꞌuta,Karalo Ꞌuta
Aipirua,Aipirua
Luma,Luma
Laülaa,Viejo
Anaiwa,Anaiwa
Ekaa,Ekaa
Maiki,Maiki
PaaꞋa,PaaꞋa
AꞋleewain,AꞋleewain
"Nnojoo jikerotüin s uupuna kemionkaa , asheꞋtuushii taa jia","No se metan debajo del carro, se pueden golpear."
"Wattasü pipia, jooꞋ uya shipia luꞋumüin Yazmin, shia  pejet ka.","Tu casa está lejos, vamos a la de Jazmín, está más cerca."
Püshakatira ka tioꞌu yalakaa s aaꞋu miichika.,Baja la gallina que está arriba de la casa.
¿Eesü asalaa cha ꞌaya suluꞌu  aikaaleekalü?,¿Hay carne allá en la tienda?
Dasneiris sümaa Jennifer jee aashaje Ꞌetsü wanee karalo'uta,Dasneiris está hablando con Jennifer y lee un libro.
Yoiver wanee rewista,"Yoiver, está leyendo una revista."
Yulinet sulu Ꞌukaa sükaralo Ꞌutase,"Yulinet, está estudiando de su cuaderno."
Suupuna einaseekaa,Detrás de la mesita
ShiꞋipoꞋujee lawatorakaa,A la derecha del perro
SünairuꞋ u  meesachonkaa,Encima de la mesa
Na'atoꞋu etkai,Detrás del gato
¿Jalashi jintüikai?,¿Dónde está el niño?
Wainjaa,No sé
"Jüwa'üla a winnamüin, suchikejee laaka a ajunteena uuchumüin","Caminan hacia el este, al pasar el arroyo cruzan hacia el sur"
Waapünaa,Oeste
Uuchupunaa,Sur
Palajatükalü Atüjünüin,Lo primero que se aprende
Washe' In,Nuestra ropa
Wayuusheꞌin,Manta
Karatse,"Penacho, especie de corona masculina"
Si'ira,cinturón(m)
"Amulouisü tekiyaalaja,  pa'anapajira taya tü pikiyaalajakaa.","Mi pañoleta se me perdió,  préstame la tuya."
"Aa, tantireerü watta'a pümuin to'lojoopa shia.","Si, te la traigo mañana después de lavarla."
"Aa, sukorolo maachon.","Si, es de mi mamá."
¿Jamüinjatü püchepajaaka?,¿Para qué te vas a maquillar?
"Ajaa, tasaajüin paala, püikalaa motso Ꞌo.","Bueno, ya lo traigo, siéntate un momento."
"Eesü wanee ishosü, ¿tasaajüin pümüin?","Tengo una roja, ¿te la traigo?"
"Ajaa, ta'atapajeerü.","Bueno, la espero."
¿Jam ajatü pümüin?,¿Para qué lo necesitas?
"A'anüi si'ira chi ta'laülakai Vicente , pümaa nümüin nüikai waneesia.","Mi tío Vicente hace cinturones, dile que te venda uno."
Süsülajanain toushi,Me la regaló mí abuela
¿Eesü püma'ana achepajiyaa?,¿Tienes maquillaje?
Püchepajapa toꞋupüna.,Píntame la cara.
Ayonnajüinjatü taya shipialu'u taa'irü.,Voy a bailar en la casa de mi tía.
Cho'ujaasü taya'lajüin wanee si'ira.,Necesito comprar un cinturón
Ayonnajüinjachi taya watta'a sünain wanee miꞋirakaa,Voy a bailar mañana en una fiesta.
¡Anachonkatche wayuusheꞌinkaa ! ¿jalajatü püya'lajüin?,¡Qué manta tan bonita! ¿dónde la compraste?
¿Aainjülü wayuusheꞌin?,¿Ella hace mantas?
"a. Jamayaa Piatürii, ¿Kasa paa Ꞌinrakaa?",Hola Beatriz ¿Qué haces?
b. ¿A'lakajaainjatü pia pümuiwa'a?,¿Vas a cocinar sola?
c. ¿Kasa paainjüintüka namüin,¿Y qué les vas a hacer?
"d. Jemetakai saa'in, pikirai taya pali Ꞌitchon.","Sabroso, me regalas poquito ."
a. AꞋlakajaasü neküin na wayuukana anteenakana joolu'u sulu'u ekirajüleeka.,Cocinando el desayuno para la visita que viene hoy a la escuela.
"b. Nnojoo, seerü joolu'u Maatta sümaa Mariia.","No, ahora viene Marta con María."
c. Roo sümaa siina otta uujolu.,Arroz de cecina con chicha.
a. ¿Jaralü asaajüinjatükaa pümüin sikikaa?,¿Quién te va a buscar la leña?
b. ¿Jalapüsheena antüin na alijunakana?,¿A qué hora llega la visita?
a. ¿Jamüsü saainjia tü rookoo sümaa siina?,¿Cómo se prepara el arroz de cecina?
"a. Palajana, eeinjatü püma'ana wanee asalaa nnojoluin ichein.","Primero, debes tener una carne que no esté dura."
"b. Pusüsinajüinjatü, süchikejee pi'itaa müinjatia süpüla kaꞋikaa, akatsa'a jülüjüinjatüin paa'in suulia wotuin mma otta jokomain shia.","Debes de abrirla , después la coloca s al sol, cuida que no se llene de arena y gusano."
"c. Pü'lakajainjatü tü asalaakaa, jawa'awapa shia, pijitüin rooko.","Pones a hervir la carne hasta que esté blanda, luego le agregas el arroz."
"a. Eesü tama'ana, nüntirala tawalakai.","Yo tengo, la trajo mí hermano."
b. ¿Seerü pia Kale'ujeena ?,¿Vienes al medio día?
c. Shia seeño Kintiinaa.,La seño Quintina.
"Tayakaa, talatüsü taya süka jemetüin jümüin","Yo, me alegro que les haya gustado."
"Nnojooyütsa'a toulaküin she'ejü rookat tüü, jemetashantasü.","Yo nunca había probado este arroz, es muy sabroso."
"Ekitnüshi taya juriichi Juuraleinjee aliikain, o'uneechi taya tachukua'a watta'a.","Allá en Juuralein, me brindaron frichi, mañana voy otra vez."
"Jemetashantüsü, ¿jaralü kotsekalü yaa?","Está sabrosa, ¿quién cocinó?"
"Pijita suchukuwa'a palitchon roo, püntirai soo'omüin uujolu.",Échame otro poquito de arroz y me traes más chicha.
"Jashü'üsü tü uujotkoo, taseeshaintain sünain müin shia.","Esta chicha está fermentada, así es que me gusta."
"Nnojotsü aainjünüin eküütkaa tüü sulu'u toumain, pikiraaja tayakai sünain.","En mi tierra no hacen esta comida, enséñame a hacerla."
"Anüü eküütka, ja'isü shiaje Ꞌe.","Aquí está la comida, está caliente."
"Jemetüsü ma'in uujotka tüü, eesü süpüla püsülajüin tamüin yootchon süsüinjatü teika.","Esta chicha está sabrosa, me regalas un poquito para llevarle a mi mamá."
Kasiwaano'ulu,Culebra sabanera
¿Kasa'irukut pia?,¿Qué clan eres tú?
"Jama püshikai, ¿kasa'irukui nia?","Y tu papá, ¿qué clan es?"
Iipuana te'irukukat,Mi clan es Iipuana.
¿Kasa mürüt shiyaawasekat Iipuana?,¿Cuál es el animal que representa a los Iipuana?
"Anü jejetse tü te'iruku, ma'aka pi'reere tü waneeirua, pu'una cha'aya Aalaasümüin, cha Wuinpumüin.","Este es el símbolo de mi clan, si quieres ver los demás, debes ir a la piedra Aalasu, en la alta Guajira."
Shiyaawase te'iruku tü peetkaa,La “perdiz” representa mi clan
"Jamayaa jia, D ariana tanülia tayakaa, wayuu Wo'uliyuu taya, süchon alijuna, cheje'ewalii na tapüshikana Mapa ꞌajiwu ꞌo, sü'ütpa'a Majayütpana.","Como están, mi nombre es Dariana, soy wayuu del clan Wo'uliyuu, hija de un alijuna, mi familia es de Mapajiwou, cerca de Majayutpana."
Jüntira watta'a tü jükaralo 'utase.,Mañana traigan copia de su tarjeta.
"Na jo'uuchenkana, nayainjana awate'eraka yosu.","Los menores, van a participar en carreras de carritos de cardón."
Nnojoluinjatü amaanüin tepichi nnojoikana ekirajaain sulu'u tü ekirajiapüleekalü.,No pueden llevar niños que no estudien en esta escuela.
"O'unajana waya aliika Ekima ꞌanamüin, eesü wanee jutkata saa ꞌu wakuwa'ipa, eejirainjana waya sünain tü mi'iraka.","Hoy en la tarde vamos a Ekimana, hay un encuentro cultural, vamos a participar en los juegos tradicionales."
Taainjüi njatü wanee anüliairua namaa na eejiranainjanaka.,Voy hacer una lista con los que quieran participar.
¿Jaralü tü ajuiteeka sünain achinpajawaa?,¿Quién quiere participar en tiro con arco?
¿Jaralü alü'jüinjatka wayuunkera?,¿Quiénes van a llevar muñecas de barro?
Anashantainjatüin jutuma shia.,Deben hacerlas bien bonitas.
¿Atüjüshi pia amasajaa waa?,¿Tú sabes tocar la flauta?
Ottüinjatü watta'a tü ei'yatiraakaa wakuwa'ipa yaaya ekirajiapülee.,Mañana inicia el encuentro cultural aquí en la escuela.
"Ottajatsa  watta'a tü mi'irakaa, jüntai watta chon maalü , nnojoo jüntirüin juwotsoin.","Mañana vengan temprano , es el primer día del encuentro  cultural, no traigan sus bolsos."
"Jümai namüin jüshikanainrua a juittüinjana jia watta'a kale'o, süchikejee ekaawa.","Les dicen a sus padres que  mañana van a salir al medio día, después del almuerzo."
"Nnojo o jujutuin karalo' utakaa tüü, jüntireerü shia eepa külaase .","No vayan a botar esta hoja, la traen la próxima clase."
"Ayonnajüinjana na tamaajanakaa otta tayakai namaa na jieyuukana Jepein je'ewatkaa, müsü tamüin seeñokaa Laune.",Mis compañeros y yo nos toca bailar la yonna con las mujeres de Palasuma'ana me dijo la señora Laune.
"Püma nümüin puwala miyo'ushikai nüntai nütalejai kaashakaa, tantireet tayakaa nümüinkaa tashikai.","Le dices a tu hermano mayor que venga a tocar el tambor, yo voy a traer el de mí papá."
"Aa, ¿jamüinjatüja'a?","Si, ¿para qué?"
"Aa, antajachi taya si'iralüin müshia ekirajaainjachi süka tü türompakaa  müshi tamüin ekirajüikai.","Si, el profesor me dijo que viniera en guayuco y practicara con la flauta ."
"Antüinjana na tooluyukana si'iralu'u, otta na jieyukana wayuushe'inrujana sümaa kachepainjana.","Los hombres deben  venir en wayuuco, las  niñas en manta y maquilladas."
"Jamaya a, Ana Kari  tayaka a, sümaa Ingrid, Anelsi, Oscar otta Alicia, waraiteena waya Maiko'upünaa süpüla pütüjainjatüin aashajaawa namaa na wayuukana eere püntiraain namaa.","Hola, soy Ana Kari, junto con Ingrith, Anelsi, Oscar y Al icia, caminaremos por  Maicao para que aprendas a dialogar con los wayuu  donde  los encuentres."
"O'unee na waya palajana  mettk aarulu'u, süchikej ee cheena  waya aya'lajüin sentürolu'u , kettapaa cheena waya ayaatüin suma'anamüin Pilome ena cha'aya Majayütpana.","Primero iremos al mercado, luego de compras al centro y por último  visitaremos la casa de la señora Filomena en Majayütpana."
Aya'lajüinjatü taya  pitchuushi nümüin ta'laüla.,Voy a comprar fríjol  para un tío mío.
¿Anasü? ta'lakajainjat ü  joolu'u.,"¿Está bueno?, lo voy  a cocinar ahora."
¿Jamayaa  pia tiia?,¿Cómo estás tía?
¿Je'rawai maikikaa süka poote?,¿Qué cuesta el  pote de maí z?
"Ayaꞌlajüinjatü  wüiirü, ¿eesü püma'ana ?","Voy a comprar auyama, ¿tú tienes?"
"Aa, iroluyulia, wakotchajala ne'e aliuukainka sulu'u nüyüüjase chi ta'wayuusekai.","Si, está blandito, lo recogimos ayer en la siembra  de mi marido."
Anasü,Bien.
"Piratüi,  3.500, süyatapü naa, 2.500","Lleno, 3.500, medio, 2.5 00"
¿Kasa amaa püya'lajü injatüka?,¿Qué más vas a comprar?
"Aa, miyo 'uyuu tüüirua ¿Je'rasü kei'reeka paa'in?","Si, están grandes , ¿Cuántas quieres?"
¿Eesü kaa 'ula püma'ana?,¿Tienes chivo?
"Che'ra ja'raisü liiwura süpü'ü, nnojotsü kei'reein taa'in suwatsekaa","Dame cinco libras de la pierna, no quiero costilla."
"Aa, ¿je'ra püchekaka?","Sí, ¿cuánto quieres?"
"Ajaa, na teitaain soomü in shi'ipa asalaa, süpüla püyaꞌlajüinjatü in puchukuwa'a toulia.","Bueno, te eché un pedazo más de carne para que vuelvas a comprarme."
Eesü wanee alapajaa shipialu'u toushi.,En la casa de mi abuela hay un velorio.
"Paapireechi taya süpülapünaa shipiyu'ushijaain, taya'lajüinjatü kaa'ulakairua joolu'u aliika.","Me avisas antes que oscurezca, yo compro los chivos ahora en la tarde."
"Ajaa, taapir eechi pia aipa'a.","Bueno, yo te aviso hoy en la noche."
"Wainma ma'in asalaa, ¿jamüinjatü pümüin?","Bastante carne, ¿qué vas hacer?"
"Cho'ujaale pümüin soo'omüin asalaa, peenajeechi taya, te'ikajaajeerü pipialu'umüin.","Si necesitas más carne, me llamas y te la llevo a tu casa."
Antüshii jia. ¿Kasa jüchajaaka?,"Bienvenidas, ¿Qué están buscando?"
"Aya'lajüinjanii waya wanee irua santaalia, süpüla wanee mi'ira.","Venimos a comprar unas sandalias, para una fiesta."
"Jüikala, tantir aiwa jümüin santaaliaka a süpüla ji'rüinjatüin shia.","Siéntense, ya les traigo las sandalias para que las vean."
"Anüü santaalia eekalü wama 'ana, eesü süpüshuwa'ale süno'uka.","Estas son las sandalias que tenemos, hay de todos los colores."
"Aa, oꞌuneena waya jooluꞌu eemüin tü aiküleekaa wayuusheꞌin.","Si, ahora vamos a esa tienda de mantas."
Cho ꞌujaasü tamüin wanee irua santaalia mütsiia süpüla tü miꞌira eeinjatkaa watta'a aipa'a.,Yo necesito unas sandalias negras para la fiesta de mañana en la noche.
"Anu'usa tüü, kettaj eerü pümaa , wainmairü waiküin.","Estas te van a quedar bien, hemos vendido varias."
Püntira tamüin wanee santaalia ee ishoin suno'u sü müinjatü tachon.,Me traes unas sandalias rojas para mi hija.
¿Miyo 'u? ¿Grandes ?,¿Para quién? ¿Grandes?
"Piiraka sümüin tüü, anachon niisü, mütsiia jia'aya tü püchekalaka a.","Mira estas, son muy bonitas, y son negras como te gustan."
"Kettaasü tamaa,  talü'üjeerü.","Me quedan bien, me las voy a llevar."
"Anachonsü tü üirua, ¿jamüsü saaꞌin m üin?","Estas son hermosas, ¿qué te parecen?"
"Tacheküin  tü kasutatk aa, anache ꞌechonsü.","Prefiero las blancas, son más bonitas."
Püyaꞌlaja wanee  nüsapaatse chi tashikai.,Cómprale unos z apatos a mi papá.
"Jayas ü, tayaꞌlajeer ü tayakaa sümüinka maama, tas ülajeer ü suꞌutpünaa sukump üliijüin  juya.","Están baratos, yo compro  las de mi mamá,  se las voy a  regalar el día de su cumple años."
"Piꞌitaa sulu'u wanee wotsa, talüꞌüjüintüirua.","Pequeñas, mi hija tiene 7 años. Empácalas en una bolsa, me las voy a llevar."
"Jülata jümaa, jüikalaa suupünaa lumakaa, taamajaajeerü juꞌula süpüla jeemerainjanain.","Adelante, siéntense debajo de la enramada, ya les cuelgo un chinchorro para que descansen."
Antüshii jia.,Bienvenidos.
¿Jalejeejeena jia?,¿De dónde vienen ustedes?
"Anii ta'laüla Jorge Paz, süpütchipü'üinkai wapüshi i, süshiyuukai tei.","Este es mi tío Jorge Paz, el palabrero de la familia, y hermano mayor de mi mamá."
"Anashija 'a süka jüntüin, jipialuꞌujana jia.","Qué bueno que hayan llegado, están en su casa."
"Jamayaa ta'laüla, na 'leewain waya Ruweetta, antüshii waya sünain alapajaa  naa'u.","Hola tío, somos compañeros de Roberto, venimos a acompañarlo al velorio."
"Mapüsashii waya, eewasü we'ejena, anayawatshiije'e waya nutuma Ma'leiwa waintüinapain yaamüin.","Estamos cansados, el carro se varó, gracias a Dios ya estamos aquí."
"Aa, müshi Ruweetta tamüin.","Sí, Roberto me dijo"
"AꞋitüsü juya aliikain, piratüsü wuin wopuka.","Ayer llovio, el camino está lleno de agua"
"Chejee Majayütpanajee, ekirajaashii waya nümaa Ruweetta.","De Majayütpana, somos compañeros de Roberto."
"Y camino a M eraatuushi,","Y camino a M eraatuushi,"
"¿Jamüsü peenajia, nnojoluin señaalü?",¿Y cómo hiciste para llamarla si no hay señal?
"Ajaa, mojusu cha'aya s üseñaatse Tiiko.","Aja, allá la señal de Tigo es mala."
"Nnojotsü seeñaat cha'aya, nnojotsü jaapaain tü pütchirua watsalu'ukaa.","Allá no hay señal, no contesta los mensajes de whatsapp."
Teenajüin sulu'u süserulaatse suwalakaa.,La llamé al celular de la hermana.
¿Puunejüitpa shia süpüla sütüjaain saa'u wopulu'uin waya?,¿La llamaste para decirle que vamos en camino?
"Joo Ꞌuya, a'atapajünüshii waya cha'aya Meraatuushi.","Vamos, nos están esperando en Meraatuushi."
"Aa, ja'atapaja waya so'ulu'u amuyuukaa, tamüsü.","Sí, yo le dije que me esperara en la puerta del cementerio."
Taata MaꞋleiwa Papá Dios,Taata MaꞋleiwa Papá Dios
"Wachuntüin pümüin soꞋukaꞋi, paaꞋinmaja waya, pünaajaa waya wapüshuwa'a.",Te pedimos hoy que nos protejas y nos guardes a todos nosotros.
"Pükaalinja na ekirajüliikana süpüla nekirajüinjanain waya sünain anaa, so'u nünülia Jesus wachuntüin pümüin.","Ayuda a los profesores para que nos enseñen cada día mejor, en el nombre de Jesús te lo pedimos."
"Wekirajaain tü anain so ꞋukaꞋi tü shii Ꞌirainkaa wuommain, otta aküjalaakaa tü shiimainkat, müsia achuntaa saa Ꞌu wuommain .","Hoy vamos a aprendernos el himno nacional, la oración patria y el juramento a la bandera."
Jülüja jaaꞋin süpüla jütüjainjatüin jüpüshüwa'a.,Presten atención para que todos lo aprendan.
"Watta'a maalü, jamayaa jia.","Cómo están, buenos días."
Talatüsü tayakaa süka yaain taya jümaa.,Estoy contenta de estar con ustedes.
Ta'atapajüin jünain jüpüshüwa'a jüntüin sünain jikirajaawein.,Espero que todos ustedes tengan ganas de aprender.
Joo Ꞌuya wachuntai palajana nümüin MaꞋleiwa.,Vamos primero a pedirle a Dios.
"Pulata Maryoris, püküjaiwa süchiki tü aküjaa shimainkat saa'u wanterakaa.","Maryuris ven al frente, recita el juramento a la bandera."
¡Jaapa sünüiki jintutka! ¡Escuchen a la niña!,¡Jaapa sünüiki jintutka! ¡Escuchen a la niña!
¡Taküjüin shiimüinkat!,¡Sí juramos!
"Kolompia toumain pia, talü 'üjain pia sulu 'u taa'in, tanoujüin aneerüin pukuwa 'ipa, te'reein pia waneepia miyo 'uin otta kapülain pia sümaa taashin","Colombia patria  mía, te llevo con amor en mi corazón, creo  en tu destino  y espero verte siempre grande, respetada y libre."
"Pünainjeesü kasa aika tapüla süpüshuwa' a, pa'anasiain , pujutu, tepia, na'amuuyuuse tatuushiyuu, tanoula, touuntaka jünainjee ta'yataain jee asa'wajaa ta'lapüinru'ukaa.","En ti amo todo lo que me es querido, tus glorias, tu  hermosura,  mi hogar, las tumbas de mis mayores, mis creencias, el fruto de mis esfuerzos y la realización de mis sueños."
"Pusurulaatsein taya jia ke'ireeka ta a'in, jee talatakaa amaa taya jia jüka kolompiaje ꞌewai tamünüin. Ma'aka Kasai alatüin pümüin outeechi taya jünain ainmajaa pia.","Ser soldado tuyo es la mayor de mis glorias. Mi ambición  más grande  es la de llev ar con honor el título de colombiano y llegado el caso, morir  por defenderte."
"Pülata Jamer, püküja iwa tü “Achuntakaa saa'u woummain”, süchikejee wei'rajüinjatü wapushuwa'aya tü shii'irainka wu ommainkaa.","Jamer pasa al frente, recita la oración patria y después todos cantemos el himno nacional."
"Aliinjatü wapüla tü wounm mainkaa , otta tü shiyaawase kaa, kojutajatü wamüin eiyataka a sünain kolompiyaanain waya.",Debemos amar nuestro país y respetar los símbolos que nos identifican como colombianos.
"Eejerü shiya'leria saanala wu ommain chi wanee kashi anteechikai,süpüla ka'ika ti'a jütüjüinjatü süpüshuwa'a tü wei'rajaka so'uka'i.","El otro mes hay izada de bandera, para ese día deben de haberse aprendido todo lo que cantamos hoy."
Jikerola maala suluꞋu jüsalonse.,Entren a sus salones.
Aapünüinjatü woletin watta'a.,Mañana hay entrega de boletines.
Jüküj a namüin jüshikalüirua nantai watta'a wattachon sulu'u kemionkaa jümaa jiakana.,Le dicen a sus padres que vengan mañana temprano en el transporte con ustedes.
Shia neꞋe tanüiki jümüin .,Eso es todo lo que les digo.
Eesü so'uka'i külaase sünain,"Hoy tenemos clase de  español,"
¿Atüjü sü pia aashaje'er aa?,¿Tú sabes leer?
"Ajaa, akotchirajeena jia watta 'a süpüla sükaliijüin na tepichi nnojoliikana atüjüin.","Bueno, mañana los voy a sentar en grupo para que ayuden a los niños que no se las saben."
"Teenajüinjana jia süka jünülia, eekai aapüin sünülia, “anuu taya ” joo “anii taya ” müinjana , ¿müsün?","Voy a llamar a lista, Contesten , “presente ”, ¿entendieron?"
"Jamayaa jia, watta'a maalü.","Cómo están, buenos días."
Jüikalaa jüpüshuwa'a.,Siéntense todos.
Anteerü taya watta'a maalü süpüla taainjüntüin tü a'yatawakaa.,Mañana vengo temprano para hacer ese trabajo.
"Aa, shikirajüin taya seeño Miistika.","Si, me enseñó la seño Mistica."
"Aa, aashajaashii waya süchiki katakal üirua oꞌu.","Si, hablamos sobre los seres vivos."
"Pulata Sha ade, weirakaaiwa sümüin tü külaase alatak aa, ¿sotusu paa'in?","Shade pasa al frente, vamos a repasar la clase anterior, la recuerdas?"
"Ajaa, paainja mürülüirua kepiakaa pejee sünain pipia.","Bueno, dibuja los animales que habitan cerca a tu comunidad."
"Nnojotsü kapüleein türa,",Eso no es difícil
¿Kasa wainrajatükaa süka tüü?,¿Y qué vamos hacer con esto?
"Nnojotsü talüꞌüjüin jütükajiakaa, tasaajüinjatü yootchon nümaꞌanajee tawala.","No traje pegamento, voy a buscar un poquito donde mi hermano."
Sünainjee ayaakuwaakairua piyu'la süchiki süka pünüiki.,Con estas imágenes van a armar una historia con sus propias palabras.
"Anuu watta sa alii ayakuwaa, paapa waneesia, pulatira namüin na waneeirua.",Aquí hay varias imágenes toma una y le pasas a los demás.
"Waneeshiwai, süchikejee jajatt üin tü aküjalakaa, jütükeerü sünain jükaralo'utase.","Individual, después que terminen de hacer la historia, la pegan en sus cuadernos."
"Eesü esaamen so'uka'i, joo'uya wekirajaai süpüla nnojolüinjaniin amulouliin waya.","Hoy hay examen, vamos a estudiar para no perderlo."
"Nnojoo püsürülüin tü karalo 'utapanakaa, nnojoyülia taya ajattüin sünain ashajaa.","No cierres esa página todavía,  no he terminado de escribir."
"Puunta, ajatteematüirü sütchin tü komputatoorakaa, saa ꞌin tamüin eesü wanülü ü suluꞋu.","Apúrate, se está descargando el computador, creo  que tiene virus."
Tapütüin takaralo 'utase tepialu'u eesü süpüla tantireerüin tü taꞌyataainkaa  wattaꞌa.,"Deje el cuaderno en la casa,   será traer  el trabajo mañana."
¿Jamüshi pi'rüin tachonkai seeño?,¿Cómo va mi hijo seño?
¿Jarai püchonkaa yaa?,¿Cuál es tu hijo?
"Ajaa, tatijaachipa ooꞌu jaralin nia yaa, anashi, atüjüichipa aashejeꞌera  sümaa ashajaa.","Sí, ya sé cuál es, va bien, sabe leer y escribir."
"Kekiisü tü jo 'uukoo sünain eikunakaa anain, pükaaliijeein sünain tü taapülaka, eesü motule saaꞌin.","La niña es aplicada en lo que aprende, ayúdala a estudiar las tablas, porque a veces se le olvidan."
"Watta ꞌa maalü, anayaawatseje 'e saa'u jüntüin yaa sünain tü jutkataakaa.","Buenos días, gracias por haber venido a la reunión."
"Namüin naa nnojotka na e'raajüin taya, Odonia Matos  tanülia, ekirajütka  taya kuarto.","Para los que no me conocen , mi nombre es Odonia Matos, soy la docente del grado cuarto."
"Tounaj akaa jia süpüla taapajatüin j ümüin nawoletinkana na juchoinkana, otta taküjuintüin jümüin, jamüin naya sü nain tü ekirajawakaa.",Los mand é a llamar para entregar les los boletines y decirles cómo van sus hijos.
"Tachuntüin jümüin, jükaalijüin jatüin taya sünain eeinjanain na juchoinkana jutuma.",Les agradezco que me colaboren con la participación de sus hijos.
Mo'unuinsai so ꞌukaꞌi,Hoy no fue
Ayuuishi,Está enfermo
¿Jamüsüsa'a?,¿Por qué?
Nnojotsü te ꞌrüin so'uka'i,No lo vi hoy
Asakitsü seeño Kiyaara nünain,"La seño, Kiara me pregunto por el"
"Ayuuishi, tam üsü sümüin",Yo le dije que está enfermo
¿Jamüsü pütü jaakaa saa'u?,¿Tú cómo sabes eso?
Müshi püshikai tamü in,Me dijo tu papá
¿Jalasü pia?,¿Dónde estás?
Anü karalo'utakaa,Aquí está el libro
Jalairü püsa aja,Ven a buscarlo
Aliika,En la tarde
Jamayaa,Hola
Pünaajaa tamüin,Guárdamelo
Pülüꞌüjaiwa tamüin watta'a,Me lo llevas mañana
Koleejialu'umüin,A la escuela
¿Jama puwala?,¿Y tú hermano?
¿Jetshi?,¿Cuál?
¿Chi temüliakai?,¿Mi hermano menor?
"Aa, nia chi'a","Sí, ese"
"Jamayaa ti ia, ¿anayaasüje 'e pia?","Hola tía, ¿estás bien?"
¿Je 'rashii jieyuu ipoluin?,¿Cuántas mujeres están embarazadas?
¿Je'rashii la ülayuukana ?,¿Cuántos ancianos ?
¿Eeirü tepichi outuin sütüma  jamü?,¿Ha muerto algún niño por causa de desnutrición ?
¿Eesü wuin jemetüsü sulu 'u tü mmak aa?,¿La comunidad cuenta con agua potable?
¿Jü'lakajüin t ü wuin jüsak aa?,¿Ustedes hierven el agua que toman?
¿Apünajüshii jia?,¿Ustedes siembran?
¿Kasapülajatü tü püsakirakaa anain?,¿Y esa encuesta de qué se trata?
¿Arüleejüshii kaaꞌula na tooloyu ukana?,¿Los hombres de aquí pastorean chivos?
¿Eꞌinüshii na jieyuukana ?,¿Las mujeres son artesanas ?
