way,esp
"Süch ikijee aliikajatükaa meemetshi tü soo’ujee tü püta kasuutotkolu, aashajaajeena waya süchiki nünüiki ka’ikai.","Después de esta tarde de llovizna sobre tu piel blanquecina, hablaremos sobre el lenguaje del sol."
"Too'ul aajeechi pia, mülieechi paja'a taya püchikiru'u","Yo te abandonaré, pero en verdad yo voy a sufrir por tu ausencia."
"Saainjala teikaa tü süika , otta naꞌanala chi tashikai tü siꞌirakat",Mi mamá hizo este chinchorro y mi papá hizo este cinturón
"Namüin naa nnojotka na e'raajüin taya, Odonia Matos  tanülia, ekirajütka  taya kuarto.","Para los que no me conocen , mi nombre es Odonia Matos, soy la docente del grado cuarto."
Süttüsü,Está cerrada
Aya’lajeesü Tareesa wanee komputatoora tamüin.,Teresa quiere comprar una computadora para mí.
"Japüishi chira jintüi kai, nnojoishi ekeein o ’upalaa.","Ese niño tiene vergüenza, no quiere comer delante de alguien."
Yaajeeru'u,Hacia acá
"Aa, ja'atapaja waya so'ulu'u amuyuukaa, tamüsü.","Sí, yo le dije que me esperara en la puerta del cementerio."
Nnojotsü kasain wachajaain achiki yaapünaa  yaa.,Nosotros no buscamos nada por aquí.
Ayawatunüinjatü akua'ipa tüü aksiones populales münaka süchirua a'imaja sükua'ipa wayuu waima ma'aka sa'in nakorolo-no'ummair;i-anaa jee müsuya süpushua tüü kasa antaka nanainpüna aka müin yaa e'iyatünüinjatüü kasain wayuu tüü amojujaka tüü akua'ipaka napulerua wayuu waima.,"La ley regulará las acciones populares para la protección de los derechos e intereses colectivos, relacionados con el patrimonio, el espacio, la seguridad, y la salubridad públicos, la moral administrativa, el ambiente, la libre competencia económica y otros de similar naturaleza que se definen en ella. También regulará las acciones originadas en los daños ocasionados a un número plural de personas, sin perjuicio de las correspondientes acciones particulares. Así mismo, definirá los casos de responsabilidad civil objetiva por el daño inferido a los derechos e intereses colectivos."
A’ttaainjatü püliikukolu waneemüin ja’ata luwopukolu.,La burra va a pasar al otro lado de la quebrada.
"Eejerü shiya'leria saanala wu ommain chi wanee kashi anteechikai,süpüla ka'ika ti'a jütüjüinjatü süpüshuwa'a tü wei'rajaka so'uka'i.","El otro mes hay izada de bandera, para ese día deben de haberse aprendido todo lo que cantamos hoy."
keewataa,arrear
Aya’ lajüijachi taya [piama karalouta jeketü ].,Yo voy a comprar dos libros nuevos.
Ojoitüshiiinka waya  putuushi.,Nosotros enterramos a tu abuelo.
¡Jaapa sünüiki jintutka! ¡Escuchen a la niña!,¡Jaapa sünüiki jintutka! ¡Escuchen a la niña!
Anaajünüsü toleekakalüirua natuma jima’aliikana .,Fueron acomodados los talegos por los jóvenes.
"Müleka shiimain reje  piain we'rüin, anakaja peenakü le taya süpüla tantajachin pünainmü in soo'opünaa tü palaakat.","Si en verdad eres tú a quien vemos, sería bueno que me llamaras para ir hacia ti sobre el mar."
achaja’alaashi,busca contra lo esperado
Awaatainapa,Acabamos de Correr
ekeroloo,entrar
Pu'una cha'aya,Ve para allá.
o’otowaa,montarse
Na’ajüin  aipia nü’ lanalakalü.,Él quema el cují que ha talado.
anneerü,ovejo
momoluu,tener miedo
"Nnojots ü antüin pia Aliuukainka, antüinjatü  pia wanepia s ünain kulaase","Ayer no viniste a la escuela , debes de venir todos los d ías"
Nüküjainja’a jümüin tü nukuwa’ipakalü nüma’anajee chi wanee  laülaakai.,Le contó a ella lo que le había sucedido donde el otro viejo.
O'uneeshiya taya - müshi  wayuukai.,De verdad que quiero ir -  dijo el hombre.
Tachajaainjatü tü saruweesa kalü,Yo voy a buscar la cerveza.  (Específico)
¿Jü'lakajüin t ü wuin jüsak aa?,¿Ustedes hierven el agua que toman?
Aya’lajeerü pia meruuna.,Tú comprarás melón.
Anashija ꞌa  süserulaa tse süntüin eküütka,"Bueno, voy a convidar a mi hermana para que me acompañe."
Ateküsü [paa'inrüin mainmashaana sipata ].,Conviene que hagas muchísimo hilo de algodón.
atunkaa,dormir
Yaashi  Piipa  nüshajüin wanee karalo’uta  süchiki wayuunaikikalü.,Pipo está aquí  escribiendo un libro sobre la lengua wayuu.
Eesü wanee alapajaa shipialu'u toushi.,En la casa de mi abuela hay un velorio.
püchi maa POCO A POCO  apütapüchi müshi,deja poco a poco
"Aisha'ajaa, nnojoliinja'a wayuuin chi makai yaa.","Caramba, no es persona el que está así."
¿O'uneeshi pia tamaa Maiko’umüin?,¿Quieres irte conmigo a Maicao?
Cho ꞌujaasü tamüin wanee irua santaalia mütsiia süpüla tü miꞌira eeinjatkaa watta'a aipa'a.,Yo necesito unas sandalias negras para la fiesta de mañana en la noche.
a. ¿Jamüsü saainjia tü rookoo sümaa siina?,¿Cómo se prepara el arroz de cecina?
¿Jaralü jimo’olu paapirüinjatu ka yaa?,¿A cuál niña vas a avisar?
¿Jala shi amüloulin chi ekirajüi kai yaa?,¿Dónde se perdió el maestro?
"A’lakajaasü Mariia (taya, shia, pia)","María cocin a (yo cocino, ella cocina, tú cocinas)"
jimataa,estar quieto
Eküsüinka pia paa ’airuku.,Tú comiste antes carne de res.
"Kataa müsü so'u ja'wai, eejüsü saa'in nünain süchonkai.","La noche la pasó  despierta, estaba pendiente de su hijo."
"Waneesüyainjatü piitain, pünaajaainjatü jümüiwa’aya.","Será una sola tu totuma, y la guardarás aparte."
"Peenajaa chi püshi kai, püsakirapan nüntajachin sünain tü akotchajawaakaa","Llama a tu papá, le preguntas si viene para la reunión"
Pü'lakajaa,¡cocina!
¿Eesü kaa 'ula püma'ana?,¿Tienes chivo?
"Tüü palaaka, tüü wuinka, tüü wopüka süpülajatü wayuu süpushuaya; otta müsüya tüü sükoroloko wayuu sümaiwajatü ma'aka sa'in amüyuu, walaa, wotkasa'inru; kas a tüüirua nojotsü süpüla süikünüinj atüin, süwanajanüinjatüin saanapajünüinjatüin nojotsü süpüla süsütunüinjatüin wo'ulia wakorolosü waneepia süpüla ka'ikat süpushuaya.","Los bienes de uso público, los parques naturales, las tierras comunales de grupos étnicos, las tierras de resguardo, el patrimonio arqueológico de la Nación y los demás bienes que determine la ley, son inalienables, imprescriptibles e inembargables."
"¿Jamüsü peenajia , nnojol üin señaalu?","Yo le digo a mi tía que te llame, ella es la que la va a comprar."
Awanuwa’alaa müshii [piamashii muusa mulo’uyuushaana mütsiiatalii ].,Saltaron de repente dos descomunales gatos negros.
Alanaashi etkai nüpüleerua püliikukai.,El perro se le adelantó bruscamente al burro.
"Koisü nüto'uta oo'ulaka müsüya tü nu'upünaautakalü, mashaanasü aka joi wüchii.","Su piel y su cara eran muy peludas, mucho así como las plumas de los pájaros."
"Jüchikijee tia, ojo'itünüshi outushikai amouyuupa'a müin.","Después de aquello, fue enterrado el muerto en el cementerio."
Niküinjatü Luuka süse ’eru'upünaa areepakalü tüü sümaa keesü.,Lucas se va a comer la mitad de esta arepa con queso.
Tayaawatüin pia - müsü jietkalü nümüin  Luuka .,Te reconozco – le dijo la mujer  a Lucas.
emiralaa,tragar
Antüshii jia.,Bienvenidos.
Tayonnaja aa'ulu tü meesakalü .,Yo bailé sobre la mesa.
A'itünüshi pia nutuma chi pülüinkai.,Tú fuiste golpeado por el nieto tuyo.
"Jiasa'a jo'u wanee ka'i, antataalashi nainchi Kushematai [jünain achijiraa maalüyashaanaiwa'aya ].","Entonces un día, llegó el cuñado de Kushematai para despertarlo muy de madrugada."
Naa wayuu laulayuukana sülu'u no'ummain ayatüinjana kajutüin. Müin aka sükua'ipa natuma wayuu laulayuu sümaiwa. Akatsa nojolüinjatüin pe'ipolooin süma sükua'ipa Konstitusionka. Jee müsuya süma sükua'ipa achiejayaa kasa sütuma Repuwulikaka. Shianjatü tüü Leika e'itainjatka sukua'ipa apansajia tüü kasa sülu'u tüü sukua'ipa achiejawaa sa'u tüü mmakat.,"Las autoridades de los pueblos indígenas podrán ejercer funciones jurisdiccionales dentro de su ámbito territorial, de conformidad con sus propias normas y procedimientos, siempre que no sean contrarios a la Constitución y leyes de la República. La ley establecerá las formas de coordinación de esta jurisdicción especial con el sistema judicial nacional."
Antüshii tepialu’umüin [ja’raishii wayuu mojulaajüshii ].,Llegaron a mi casa cinco hombres malvados.
Jutpüna majayütkalü türa.,Esa señorita es alta.
Aya’lajeerü pia  meruuna,Tú comprarás melón . (Específico)
Anujulaashi chi kaainjaraikai shiyaama ’a wanee wunu ’u mulo ’u shikii.,El malhechor se escondió detrás de un árbol de tronco grueso.
Taya’lajüin nütoleek ase Juan .,Yo compré el saco de Juan.
Nnojotkalaka pümaayaain taya jünain alu ’wanaa.,No no me has llevado a recoger datos.
Püyaꞌlaja wanee  nüsapaatse chi tashikai.,Cómprale unos z apatos a mi papá.
Jaralü püya'laja ka apüla wanee süi yaa?,¿Para quién compraste un chinchorro?
"Jemetüsü ma'in uujotka tüü, eesü süpüla püsülajüin tamüin yootchon süsüinjatü teika.","Esta chicha está sabrosa, me regalas un poquito para llevarle a mi mamá."
"O’uneeshi taya Maiko’umüin pümaa, akaisa’a masapia in taya.","Yo quiero ir a Maicao contigo, pero no tengo pasaje."
Oꞌoojüshi,Está bañándose
Chejeeru'u,De aquel lado
Atunk eerü  teikalü sulu’u süikalü  sümaa tachon.,Mi madre dormi rá en el chinchorro  con mi hij a.
"¿Laülaa chi püshikai, jima'ai pa eera  nia?","¿Tu padre es viejo, o es joven?"
¿Eesü asalaa chaꞌaya sulu Ꞌu aikaaleekalü?,¿Hay carne allá en la tienda?
Nnojotkalaka pümaayaain taya jünain alu ’wanaa.,No no me has llevado a recoger datos.
AyaꞋlajeechi taya kashikaa tüü  shimi ꞌirajia tepichikaa sulu'u  koleejiakaa,Este mes le voy a comprar unos juguetes a los niños de la escuela
Eje'ena poloo shikii alijuna sülu'u tüü Senaalo münaka ayutnajana sülu'u mmaka süpüshüa. Eje'ena piamashi wayuu no'ummain ayulu 'ushi ma'aka nayakana. Naa nekiipüjanainjanaka wayuu sülu'umüin Senaaloka acheküshi laulayuuin palajana naaka napüshi süpula sa'apünüin namüin kalalo'uta nalatia sütuma tüü napüshi nayatakalü ama jee müsuya sütuma tüü alijuna ayataka.,El Senado de la República estará integrado por cien miembros elegidos en circunscripción nacional. Habrá un número adicional de dos senadores elegidos en circunscripción nacional especial por comunidades indígenas.
Alanaashi etkai nüpüleerua püliikukai.,El perro se le adelantó bruscamente al burro.
Niküinjatü Luuka süse'eru'upünaa  areepakalü tüü sümaa keesü.,Lucas se va a comer la mitad de esta arepa con queso.
O’unusu tawalakalü sulu’umüin tü aikaalee eere  shi’ya taain  nneetpü’üin.,Mi hermana se fue a la tienda  donde trabaja  como cajera.
Cho’ujaasü tamüin [aa'inmajaa t a'ttia ].,Es necesario para mí el cuidar mi siembra.
"Warai müshija'a nia, ananajakuu müshi mapünaa aka t üsa",El caminaba y miraba por allá alrededor
chi alijuna kepiakai pipialu’u,el alijuna [que vive en tu casa]
Tekia lu'u,Mi derecha
¿Jalasü ma'in tü püpüyakalü yaa ?,¿Dónde queda exactamente tu casa?
"¿Ayonnajeesü paa'in sümaa Nuuri, jia pa eera  püyonnajeein amaa Mariia?","¿Quieres bailar con Nuris,  o quieres baila r con María ?"
Tashunuu,Mi hermanita
Ayonnajüshii,"Estamos, estabamos  bailando"
¿Kasa (wayuu) türa?,¿Qué es eso?
Te’ra tameechi Kamiirü.,En cualquier momento veré a Camilo.
Mmolu Ꞌu,Abajo
Mojusu taa’in paalii ; matchinsai ma’in pia  soo’u m makaa tüü.,Me das lástima ; no tienes mucha fuerza sobre esta tierra.
[Tayonnaja amaa lü]s-V-o [Jusepiina ]O.,Yo bailé con Josefina.
¿Kasa paa ꞌinrakayütka?,¿Qué estabas haciendo?
Eetaash i yaawa wanee  wayuu tütüshaanas hi ma’i Piipa  nünülia.,"Había, según dicen, un wayuu muy diligente  llamado Pipo."
"Sünain Facebook , eesü tama’ana piantua po’looin shikii tatünajutu sünainmüin akaraishi shikii mekiisa lümüin.","En Facebook , yo tengo 278 ( doscientos setenta y ocho ) amigos."
Püya’lajeeerü tü meruunakalü.,Tú comprarás el melón.
"Ma’aka puu ’ulaküle tanüiki, ta ’yaateerü pia.","Si tú remedas mi hablar, te pegaré."
achajaapünaashi,busca de paso
ürüttaa,lloriquear
"Müleka pücheküle kajutuin atumaa tü pünüikikalü, eesü süpüla puluwataain sünain wanee kasa analu’uluin.","Si quieres que tenga valor lo que dices, debes ordenar a hacer cosas razonables."
Süsülajanain toushi,Me la regaló mí abuela
"Ajaa, ta'atapajeerü.","Bueno, la espero."
Tashajeerü wanee karalouta nümüin chi ekirajüikai .,Yo escribiré una carta al maestro.
Ayo’ujaasü ma’i taa’in nutuma wanee alijuna ka’liim o’ule shi.,Yo me asusté mucho a causa de un criollo barbudo.
¿Je’ra (panaa) naa'inra ka Luuka?,¿Cuántas (empanadas) hizo Lucas?
"Shiküinjachi Juan, shiküinjatü Tareesa, jee shiküinjana jaya.","Ella se va a comer a Juan, se va a comer a Teresa, y se los va a comer a ustedes."
Atunkatüjülüya taya teis alaaiwa ’aya julu ’u to’ula.,Yo me había quedado dormida al momento de acostarme en mi chinchorro.
E’eminatsü taya siki jüpüla a’lakajaawaa.,Yo amontono leña para cocinar.
Tajütüinjachi pia puumainpa ’amüin - müshi laülaakai.,Yo te voy a mandar a tu tierra - dijo el viejo.
b. ¿A'lakajaainjatü pia pümuiwa'a?,¿Vas a cocinar sola?
"Wattashiiyaaje'e kepiain waya, anta paja'a waya maalü yaamüin yaa","Nosotros vivimos lejos, pero llegamos aquí pronto."
"Apünajüshii waya maiki, kalapaasü jee kepeshuuna süpüla weküin.","Nosotros sembramos maíz, sandía y fríjol para comer."
Wayuusheꞌin,Manta
¿Achekajüshii na eyüükana jutuma “Familia en Acción” münakaa?,¿Las madres de aquí cobran “Familias en Acción”?
Mojusu s aa’in  tü wayuu kachonkolu tatuma.,Esta tr iste la mujer wayuu que tiene hijo por mí.
Nnojolinjachi tamaa in pia jüma'anamüin tapüshi,Yo no te voy a llevar a donde mi familia.
KasheꞋin,cascabel
Jia toushu e’ra kama’a anuwakalü.,Mi abuela fue la que vio el barco.
Wayuu jeechi  tachonya’asa.,Mi hijo será wayuu también.
¿Kasa wayu paa’inra ka yayaa joolu’u?,¿Qué estás haciendo aquí ahora?
Üttajaa sü naa’ in jintüikai saalii tü naainjalakalüirua.,Se hartó  de pronto el muchacho  de la s bromas de ellos .
"Watta ꞌa maalü, anayaawatseje 'e saa'u jüntüin yaa sünain tü jutkataakaa.","Buenos días, gracias por haber venido a la reunión."
"Makatüshi nüpüyalu'u, nnojoi shi o'unuin wayuukai  jümaa niieyuusekalüirua",Se quedó en su casa y no se fue el hombre con las mujeres de su familia.
Ee’irajü shi ta’laüla wanee jayeechi,Mi tío cantó un jayeechi.
aya’lajaa,comprar
"Jüyaawajaa tü jükaralo 'utasekaa, suulia -amulouisü wanee takaralo Ꞌutase - jümajuin tamüin watta'a.","Cuenten sus cuadernos, no vayan a decirme mañana que se les perdió uno."
Nüsaajüin wanee iita nümüin  Kamiirü .,Le buscó a Camilo  entonces una totuma.
Oꞌoojüshi,"Estoy, estaba bañándome"
Kakaa’ulainshi Kamiirü,Camilo tiene chivos.
Aashajaashi Juan püchiki,Juan habla sobre ti.
"Jüchikijee nüiküin paa'akalü, chakuwaishi eemüin tü alijunapia Maiko’ukolu.","Después de vender la vaca, él se dirigió a la ciudad de Maicao."
Taapüla,Tabla
Eesü mainma nneerü nüma’ana tatuushi.,Mi abuelo  tiene mucho dinero.
"Chi jintüikai, mayaasü ni'rüin türa, asakitshi: ""¿Jaralü yalaka yala?""","El chico, al ver eso, preguntó: “¿Quién está ahí?”"
O ꞌoojüshi,Estaba bañándome
Achumajaleekalüja’a ma´in taa’in nojuuna na wüchiikana sükajee nawatü in aitu’upunaa,"¡Cuánto envidio a los pájaros , porque ellos vuelan por el cielo!"
¿Ashajayaashikaleje ’e chira Ø?,¿Ese está escribiendo o no?
¿Eesü püma'ana achepajiyaa?,¿Tienes maquillaje?
Awataaitpa,"Acaba, acabo de Correr"
"Pulata Sha ade, weirakaaiwa sümüin tü külaase alatak aa, ¿sotusu paa'in?","Shade pasa al frente, vamos a repasar la clase anterior, la recuerdas?"
Manneetsesai,No tengo dinero
¿Ashajayaashikalej e'e chira  Ø?,¿Ése está escribiendo o no?
Shakiira  nnojoleetka asaküin pia.,Es Shakira la que  no te saludará a ti
"Nnojotsü seeñaat cha'aya, nnojotsü jaapaain tü pütchirua watsalu'ukaa.","Allá no hay señal, no contesta los mensajes de whatsapp."
a. AꞋlakajaasü neküin na wayuukana anteenakana joolu'u sulu'u ekirajüleeka.,Cocinando el desayuno para la visita que viene hoy a la escuela.
"Antaleejeena waya ja ’wai, o'una kalüjasa pia wapülapünaa","Nosotros llegaremos en la noche, pero tú te habrás ido antes de que lleguemos."
Antüshi wanee jima’ai jutpüna,Llegó un joven muy rico.
"Nnojo o jujutuin karalo' utakaa tüü, jüntireerü shia eepa külaase .","No vayan a botar esta hoja, la traen la próxima clase."
Nüchotooinjatü jima’aikai tü süche’ekalü paa’a.,El joven va a cortar la oreja de la vaca.
"O’unushi je taya, ma’aka pantü le.","Yo me hubiera ido, si hubieras llegado."
"Anachonsü tü üirua, ¿jamüsü saaꞌin m üin?","Estas son hermosas, ¿qué te parecen?"
Amülouisü toulia apünüin shikii toleeka  mekiisalümüin.,Se me perdieron treinta y ocho  (38) sacos.
"O’uneeshi taya Maiko’umüin, akaisa’a m asapia in taya","Yo quiero ir a Maicao, pero no tengo pasaje."
¿Atüjashi pia atükaa wayuunkeera?,¿Tú sabes moldear muñecas?
Aluwataaushi wattajee chi jima'aikai.,El joven había sido enviado desde lejos.
"Sü'itapa juya , apünajüshii waya kalapaasü, meruuna, oo'ulaka müsüya wüirü.","Cuando llueve, n osotros sembramos patilla, melón, y auyama."
[Tachotooin ]s-V-o [nukuluutse Luuka ]O.,Yo corté la tela de Lucas.
A'ülüjüna amüinrü jietkalü aka jantirü in chi wayuukai,La mujer fue reprendida porque había llevado al hombre.
"Napushua naa wayuukana eeshii süpula nachuntüin tüü aksion tutela münaka süpula nasakajüin eemüin naa kasalajanakaÍii, atuma sükua'ipa kasa süchirua wanee kasachiki ekai ottuin namanamüin süpula kajütüinjatüin tüü akua'ipa aapushika namüin sülu'u tüü Konstitusionka sü'ulia sülatunüin a'upuna natuma naa sülaulayuukana aluwatawaa. Akua'ipakat tüü süpulajatü süshawaletüin tüü añajalaka süpulamüin, akumajünüinjatüin maalu'u nütuma chi kasalajanaikai atuma kasa, süchikije alu'uwatanüinjatü emüin tüü Korte Konstitusionalü münaka süpula shi'irajain shia. Akua'ipakat tüü a'innüinjatü ma'aka nojotüle e'in wane akua'ipa nata süpula akumajaa jee müsuya süpula anataa wane kasa süpula sülatüinnüin akua'ipa najapülüinjatü naa kasalajanakalii atuma sükua'ipa kasa ma'aka shi'itanüinjatüle tüü aksion te tutela münaka namüin wayuu natajana ekai kajapulüin sükua'ipa wane kasa napula wayuu napushua, jee müsüya ma'aka sülatüle tüü nañajalaka sünain amojuja sükua'ipa waima wayuu, jee müsüya ma'aka laulayuin naya nü'ulia chi achuntakai akalijüna otta müsuya naa nojolikana aso'utüin sa'u nakua'ipa.","Toda persona tendrá acción de tutela para reclamar ante los jueces, en todo momento y lugar, mediante un procedimiento preferente y sumario, por sí misma o por quien actúe a su nombre, la protección inmediata de sus derechos constitucionales fundamentales, cuando quiera que éstos resulten vulnerados o amenazados por la acción o la omisión de cualquier autoridad pública. La protección consistirá en una órden para que aquél respecto de quien se solicita la tutela, actúe o se abstenga de hacerlo. El fallo, que será de inmediato cumplimiento, podrá impugnarse ante el juez competente y, en todo caso, éste lo remitirá a la Corte Constitucional para su eventual revisión. Esta acción sólo procederá cuando el afectado no disponga de otro medio de defensa judicial, salvo que aquella se utilice como mecanismo transitorio para evitar un perjuicio irremediable. En ningún caso podrán transcurrir más de diez días entre la solicitud de tutela y su resolución. La ley establecerá los casos en los que la acción de tutela procede contra particulares encargados de la prestación de un servicio público o cuya conducta afecte grave y directamente el interés colectivo, o respecto de quienes el solicitante se halle en estado de subordinación o indefensión."
Alu’u anaajaainja ’aya nneerü alijuna kai chira.,Ese alijuna sí que guarda dinero.
"Müinka püchekü le, piiyaja taya.","Si tú quieres, cúrame."
Waapüin analuꞌulu nümüin Maꞌleiwa saa'u tü ka'ikaa nüsülajakaa wam üin,Demos  gracias a Dios por un nuevo d ía que nos regala
Akulaalajuushi tü apainkat süka sütüna aipia .,La huerta está cercada con ramas de cují.
Meruuna,Melón
Jamayaa pia uuton.,Como estás nene.
"Ma'aka jümaale taya jüpüyalu'umüin, mojushaaneerü taa'in .","Si ustedes me llevan para sus casas, yo me voy a sentir muy triste."
¿O’uneeshaanashia ma’ in pia tamaa?,¿Tú tienes muchísimas ganas de irte conmigo?
Asüshi taya uujolu shiyatapünaa  iita.,Yo bebí media totuma de chicha.
¿Kasa paa Ꞌinraka a?,¿Qué haces?
"Tüü no'ummainka wayuu eweetiret nnerü sümainje süwashirüin süleejeetka süpüshi namaa süchünterü sülaula tüü mma shiitanüin sülu'uwatawaa sükua'ipa tia. No'ummain wayuu nneerü aa'ka sa'in tüü inünisiipia münaka sünain sa'apain nnerü süpüleerua sa'inrüin tüü kasa cheujaka, namüin naa.","Los municipios participarán en los ingresos corrientes de la Nación. La ley, a iniciativa del Gobierno, determinará el porcentaje mínimo de esa participación y definirá las áreas prioritarias de inversión social que se financiarán con dichos recursos. Para los efectos de esta participación, la ley determinará los resguardos indígenas que serán considerados como municipios."
Nulumase,Su enramada
Anashaanasü ma’i pütchimaajatü kalü  tüü.,Este diccionario es muy bueno.
Chainjana waya eemüin  chi watuushikai .,Nosotros nos dirigimos  hacia donde está nuestro abuelo.
Jutpüna majayütkalü türa,Esa señorita es alta.
"Ajaa, taapir eechi pia aipa'a.","Bueno, yo te aviso hoy en la noche."
Tasaküin tü wayuu kepiakalü Maiko ’u.,Yo saludé a la mujer que vive en Maicao.
Eejeerü apünüinsü jula'airua sümaa ooro.,Habrá tres tinajas con oro.
"Tüü püruwinsia münakat sütuma alijuna akumajaasü süka tüü munisiipia sümaka alijuna, otta müsüya no'ummain wayuu jee no'ummain naa makalakana a'ka nakua'ipa na'ütpüna. Tüü puruwinsia akumajaasü süka alu'uwatawaa müleka nüchuntüle shikiipu'ukai mma kowernatoot münakai jee naa shikiipu'ukana tüü munisiipia münakat otta naa kepiashiikana sülu'u munisiipiakat eepünai süchüntüin tüü alu'uwatayaka. Tüü munisiipia ekeroleeka sünainmüin tüü puruwinsiaka acheküsü nasakitnüin süpuleerua naa kepiashiikana sülu'u. Tüü mma kalaulaka chi kowernatotkai sümaa tüü munisiipiaka aapüinjatü sümüin tüü puruwinsiaka süpüshi sünnetse a'aka nalu'uwatalain laulayuu sükua'ipa.","Las provincias se constituyen con municipios o territorios indígenas circunvecinos, pertenecientes a un mismo departamento. La ley dictará el estatuto básico y fijará el régimen administrativo de las provincias que podrán organizarse para el cumplimiento de las funciones que les deleguen entidades nacionales o departamentales y que les asignen la ley y los municipios que las integran. Las provincias serán creadas por ordenanza, a iniciativa del gobernador, de los alcaldes de los respectivos municipios o del número de ciudadanos que determine la ley. Para el ingreso a una provincia ya constituida deberá realizarse una consulta popular en los municipios interesados. El departamento y los municipios aportarán a las provincias el porcentaje de sus ingresos corrientes que determinen la asamblea y los concejos respectivos."
"Ayuuishi ma'in taya, mapülü'üsai tay a, [tasa'lijayaa ka jüpüjana monkukolu ].","Yo estoy muy enfermo, estoy débil, como para recoger los mangos caídos."
"Aa, tantireerü watta'a pümuin to'lojoopa shia.","Si, te la traigo mañana después de lavarla."
"Anüü santaalia eekalü wama 'ana, eesü süpüshuwa'ale süno'uka.","Estas son las sandalias que tenemos, hay de todos los colores."
A’yalajüsü tachon paalii,Mi hija llora por ti
Makaa’ulain salü Mariia,María no tiene chivos.
Ayonnajeeshi jima’aikai chira sümaa Marakariita.,Ese joven quiere bailar con Margarita.
a’areepajaa,hacer arepas
O'unaleeshi'iya w aya süchiki [yalain waya iipünaa apünüin oora ].,Nos fuimos después de estar nosotros arriba tres horas allí arriba.
Eetaashi laülaakai joyototaain nüpüla julu’u wanee süi.,Él encontró al viejo sentado en un  chinchorro.
Tasak eerü tü wayuu kepiakalü Maiko’u.,Yo saludé a la mujer que vive en Maicao.
süchiki Mariia,sobre María
Tüü alijunaiki kasteyana münaka shia tüü pütchi aashanajanaka sülu'u tüü mma kolonpiaka. Nanüiki naa waneeirua nojolikana alijunain nanüinküinjatü waneepia sülü'u no'ummain. Tüü ekiirajaa aapünaka namüin naa nojolikana kanuiküin kasteyana eepiantenüinjatü süma nanuiki.,El castellano es el idioma oficial de Colombia. Las lenguas y dialectos de los grupos étnicos son también oficiales en sus territorios. La enseñanza que se imparta en las comunidades con tradiciones lingüísticas propias será bilingüe.
Anteerü tei palitchon ka Ꞌi,En pocos días viene mi mama
Cho'ujaasü juya sümüin mmakaa .,La lluvia le hace falta a  la tierra.
Nia tashimia jümaa temeshu oo’ulaka müshiiya tainchiyuu.,Aquél es mi suegro con mi suegra y mis cuñados.
"Seiwa'aya ma'aka tüsein, aapünüsü nuu'uipüsana nutu ma chi wayuukai .","Cuando venía de allá para acá, fueron oídos sus pasos por el hombre."
Aashajaata müshi pia nümaa chira.,Tú te la pasas hablando a cada rato con ése.
"Anuu  pu'ula, anuu  püshe'ein juulia pukurulajüin.","Aquí está tu chinchorro, aquí está tu ropa para que no sufras frío."
Alijuna,blanco
"Eewalain anneerü wama'ana, anneetka püsala watuma.","Como no tenemos oveja, no te obsequiamos una oveja."
"Jamaya a, Ana Kari  tayaka a, sümaa Ingrid, Anelsi, Oscar otta Alicia, waraiteena waya Maiko'upünaa süpüla pütüjainjatüin aashajaawa namaa na wayuukana eere püntiraain namaa.","Hola, soy Ana Kari, junto con Ingrith, Anelsi, Oscar y Al icia, caminaremos por  Maicao para que aprendas a dialogar con los wayuu  donde  los encuentres."
Nnojoi shi o'un eein wayuukai  jümaa niieyuusekalüirua,El hombre no se quiere ir con las mujeres de su familia.
"Aa, ¿jamüinjatüja'a?","Si, ¿para qué?"
¿Jalapüsheerü o’unu in attouusakalü?,¿A qué hora sale el autobús?
"Aa, ashijaasü wuinpejee sünain tepia.","Si, está lavando al este de mi casa."
Tasi'irain,Mi cinturón
Ee’irajüshi taya wanee jayeechi sümüin Marakariita.,Yo canto un jayeechi para Margarita.
O'unushi,Él se fue
"Anujulaashi chi kaainjaraikai shiyaama'a w anee wunu'u, [suulia ni'nnüin natuma ].",El malhechor se escondió detrás de un árbol para no ser visto por ellos.
"Jemetashantüsü, ¿jaralü kotsekalü yaa?","Está sabrosa, ¿quién cocinó?"
¿Jala sü ni'itaain Kamiirü karalo ’utakalü yaa?,¿Dónde puso Camilo el papel?
¿Kasache paala anaka nümüin chii ?,¿Qué será bueno para éste?
"Napushua naa wayuukana eeshi süpula nantüin eemüin naa sülaulayuukana kasalajanaa atuma kasa süpula sa'innüinjatüin tüü süpulajanaka ajapülu'ujia kasa. Ma'aka nojotüle sa'innüin tüü kasa, alu'uwatanüinjatü achirua namüin naa sülaulayuukana alu'uwatawaa süpula na'inrüin tüü a'ulanaka sü'ulia a'inaa.","Toda persona podrá acudir ante la autoridad judicial para hacer efectivo el cumplimiento de una ley o un acto administrativo. En caso de prosperar la acción, la sentencia ordenará a la autoridad renuente el cumplimiento del deber omitido."
"Antüshi chi palajachikai, antüshi wane’eya’asa, antüshi wanee mapaya’asa, antüshii na achiiruaakana, antüshi chi jaja’ttiamüinjachikai.","Llegó el primero, llegó también otro, llegó otro después, llegaron los siguientes, y llegó el último."
"Mayaasü ni'rüin tü kasa waneejetükaa ayoluju, apantajaashi chi jintüikai .","En cuanto vio la cosa de aspecto extraño, el niño echó a correr."
