esp,nas
"Al clausurar las sesiones de la Asamblea Nacional Constituyente afirmé que ese día se iniciaba una nueva era en la historia de Colombia. Esa misma felicidad que desde entonces anima el corazón de los colombianos, esa satisfacción que sentimos quienes hemos luchado sin tregua por construir una patria abierta a la participación, que no excluya a nadie, que cobije por igual a pobres y a ricos, a fuertes y a débiles, a los que han sido gestores de nuestra historia, cobra un especial sentido con la publicación de nuestra Carta Magna a siete lenguas indígenas.","Ec Ne'hwe's'a's f'i'na h'a'hate': naa eente isa Kulubyate weh'a u'se pú't'hica' hínath we'we. K'a'wéna' wec'ayuhsa Kulubyatewe's' nasat'i h'ukaysat'ik pa'h, naa kiwete yuwe's ku'le'hya' ikasme mahisat'i naa kiwe's maahipa h'uka v'itya' mhisat'i, naa kiwete maapa h'ukay thegwa' hi'puwa'te, kimyuhpa's kuki'wa'mete, v'uwe's'a's nwe'wena, v'uwe's mepa's nwe'wena, c'hác'hasa's nwe'wena, c'hác'hamesa's nwe'wena, weh'a u'se v'itya' mhisat'i, sa' ác'ha' úus huthetesayuh thegu'k naa Ec Ne'hwe's'a's yuweisa 7 hwedsu kuki'c'a k'weste'."
"Qué equivocados estaban quienes afirmaron alguna vez que la Constitución sería un texto muerto. La entrega oficial de esta traducción es el resultado de un exhaustivo e intenso trabajo con los representantes de las comunidades indígenas, en el cual nos hemos nutrido de su milenaria sabiduría, para comprender con ellos, el secreto de su ancestral convivencia pacífica. Por eso, este texto no se conformó con convertir una palabra hispánica en otra indígena, sino que fue más allá en su esfuerzo; agregó a las normas constitucionales, la sabia filosofía de estos pueblos, enriqueciendo el sentido de los principios constitucionales. Por lo tanto, no vacilo en afirmar que este texto encarna el espíritu que animó la labor de los Constituyentes: tenemos derecho a vivir en un país que como éste, sea amplio, tolerante y lo suficientemente democrático, para que todos tengamos un lugar bajo el sol de Colombia. Me asiste la certeza de que con la conclusión de este esfuerzo, Ustedes reciben las herramientas necesarias para emprender la construcción de un nuevo y mejor futuro.","Makweyuh fiika we'wet' naa Ec Ne'hwes'a's k'uultec'a f'i'n'i pa'haca' hísa'. Naa mhia's i'kwes'ti áate dukhn'i nenyukna' nasa wala ks'av'su Yuwe Dukhsawe's' úkahyu we's'me wala mhic'a v'itn'isa', k'te' senayuh kwe's'pa piyatha'w k'a nasa hiyuun'i úc'me k'ac'hwe's'sa's, k'awe's'yakh puuk' hiyuna, ma'weyuh mpakac'tepa wétkwec'ac'a f'i'zena úsn'i's hiyuna. K'apa'katey naa ecte' naas áakhewe's'c'at' waas we'wen'i's nasasa yuwete kuki'ya'c'a pa'pc'una hwe uy yahk'meta', isateyu' nasasawe's' d'ik'the yaak'n'iyu' hweku diite u'h Ec Ne'hwe's'te we'wen'i'yupa's p'hahcna, k'awe's' hii f'i'zen'iyakh hwe kaha'da'na."
CESAR GAVIRIA TRUJILLO,CESAR GAVIRIA TRUJILLO
RESGUARDO INDÍGENA DE MOSOCO,MUSUKWETE TUTHENSA NE'HWE'S' WE'WEN'I
"Mosoco, Septiembre 30 de 1993","Musukwe, Septiembre a'te 30 1993te."
Compañeros Indígenas:,Nasanwe's' :
"Lagunas, cañadas, valles, ríos y montañas son fieles testigos de que los indígenas hacemos parte fundamental de la naturaleza y como tal somos los dueños de nuestras tierras tradicionales.","Íkh ústa', kic wala, yu' wala, thá', yu'kh wala, tkaaf', isate' k'ac'ah kwe's'ti K'a hi'tecehkpu'ze'na ústa' naa pa'kate kwe's'a' manteyyu naa kiwe naamutha'w."
"Nuestras creencias tradicionales, los saberes de nuestros antepasados y en general la manera de pensar y entender el mundo, nos enseñan que el hombre debe respetar la naturaleza por ser ella nuestra madre y fuente de vida. Ella no se puede comprar ni vender, porque la tierra es la raíz de nuestras culturas.","Kwe's' weh'a's yahk'c'a k'teyyuuna f'izen'i, yacka thé'we's naa kiweyakhpa puuk' k'teyyuuna f'i'zen'i kwe's't'i' ewkwe f'i'zeya' kask'aha'na úsa', isa' naa kiwe ít'i kaf'i'ze'hsa'naapa'kate kwe's' mamayuha'. K'a'sa' wayna ki' k'wayna f'izewa'mesa', kwe's'úskiwe'n'i' k'te iwehce' naapa'kate."
A los gobiernos y a muchas personas les ha sido difícil entender este pensamiento. Es por esto que los derechos de quienes por milenios hemos habitado estas tierras no estaban consagrados en la antigua Constitución.,"Npicthé'we's' ki"" maa nasapa na'we di'k'the yaak'n'i's kpahk'mete' théysak pa'hna úsu'.K'a pa'katha'w manteyyu naa kiwete ússa' ákhwé'y pu'ze'n'ime úsu' yacte Ec Ne'hwe's'te'."
"Hoy después de 500 años de permanente lucha en búsqueda de una vida digna tanto como individuos y como pueblo, hemos logrado el Reconocimiento Constitucional de la gran diversidad étnica existente en nuestro país.","Ác'h 500 a'kaf' utapkac'h ikáhtha'w wétkwee 'i'zewa'ha's ipakwena úsn'i e'suha', teec'c'amtha'w yuu, c'ab h'ukaymtha'w yuu napa Ec Ne'hwe's' d'i'pte ha'dasak yuuna ya'pa'ha', maa nasa úiskiwe'n'i f'iiy f'iiy hi'psapa h'uka ."
"De hoy en adelante, creemos que es deber de todos trabajar por alcanzar mayores niveles de armonía y bienestar para así cosechar el fruto del ejercicio de la Nueva Constitución Colombiana.","Ac'huya'ha' k'a'wecehk wétkwe puuk' f'i'zewa'ha's kpahk'na u'hwa'ha's mahiwa' wala úsa', khic'a k'a'we tas'i'na neesn'i's yuunna naa Kulubyate Ec Ne'hwe's' u'se nuyi'n'ite."
OCEAS LECTAMO,OCEAS LECTAMO
Gobernador del Resguardo,Musukwete nasasa ks'av' kiwete ne'hwe's'
CARTA DEL TRADUCTOR,NASA YUWE F'I'N'ITE MAHISA WE'WEN'I
"Mosoco, Septiembre 30 de 1993","Musukwe, Septiembre a'te 30 1993tewe's'."
"Amigos, ancianos, mujeres, hombres y niños:","D'i'p ya'uyn'isa, thésa, u'y, picthé', maaisa' luuc' :"
"Me es muy placentero poder comunicarnos por medio de este trabajo. Es un paso más en esta etapa del sueño organizativo que en el Cauca, desde 1971 comenzaron un proceso de unificación, desde allí se vislumbra una luz con la creación del Consejo Regional Indígena del Cauca y que actualmente se empeña en reactivar y fortalecer nuestra cultura y en especial nuestra lengua. Así, con este pensamiento, participamos en el proceso de formación de nuestra identidad nacional, haciendo parte de un país con muchas lenguas y diversas culturas.","Naa mhikwepa'kate h'ukaysayakh puuk' we'weya' ewute' wala wec'ayuhsa'. Naa eente ki' teec' c'ida c'áav'na ústha'w naa Kawkahín'i kiwete, kus ks'a'w nawec'a uyn'i's k'tey yuuna 1971-tey yu'pkhakheya pú't'hn'i khic'a Kawkate khabuwe's' yu'pkhakhen'i weh'a ác'ha' isateyuh kweethna u'hte kwe's' we'wen'i yuwepa áate walaaya'pa'. Kwe's' hu'gthéwe's' wét úskiwe'n'´ípa áate kasehna u'hweca'. K'a'wéyc'a na'we yaak'n'iyakh naa kulubyatehi'pwe's'c'ac'a yuuna, puuk' pyakhna'w pahk'na ústh'aw ; naa c'hab wala kiwete', we'wen'i yuwe we's'me sena kuh ús kiwete, nasa úskiwe'n'ipa we's'me sena kuhsa ús kiwe'."
"La traducción de la Constitución Colombiana a la lengua Nasa Yuwe, fue un proceso que nos permitió analizar y aprender muchísimo, tanto de la lengua nuestra como del castellano en relación a la sociedad actual. A los cabildos, a la comunidad y a los maestros del resguardo indígena de Mosoco les estoy profundamente agradecido por su valioso aporte, seguro que este trabajo se revertirá en beneficio de nuestras comunidades. Sin embargo, como este trabajo es un proceso está abierto a las sugerencias que a bien quieran manifestar.","Ec Ne'hwe's'a's Nasa Yuwete kuki'hn'i mhia' wehme sena ak'ahwa' kasehk, kwe's' yuwe'sipa, l'inu yuwe's k'a'wéy, ác'hwe's' nasa kuh f'i'zen'i'yakh kaha'da'na. Sa' Musukwete khabuwe's't'i, k'te nasa walat'i, k'te kapiya'sat'i h'ukasat'i wala wec'a'th, sa' naa mhikwe' nasasawe's't'i isate selpiyuhuna súhu'th. Napa ks'av'su naa mahin'i áame na'we we'wena u'pte uyc'a' tuuthe'hene'kwe aca' e's ya'phewu'huna."
"Ahora nos queda la tarea de estudiar esta Constitución como indígenas y como colombianos para hacer de Nuestra Constitución una herramienta más para continuar en la defensa de nuestros derechos, pues en la medida que la conozcamos ésta contribuirá a hacer realidades nuestros sueños.","Ác'ha' naa yuwesa' h'ukaysa hiyuwa'k yuu, naa Ec Ne'hwe's'a's nasana'wed'ih, Kulubyatewe's'na'wed'ih atya' ewuc'a, naahuya'ha' hwe pena ya'nwe'wena úsya'; sa' kihy kwe's' f'i'zewa' ewsa ústepa hiyuc'a f'i'zec'ayuc'a kwe's' ks'a'wna'we yaak'n'i's isate k'tey kyu'hu'ya' cwunkha'w."
"Afectuosamente,",Puuk' peykahna
ABELARDO RAMOS,ABELARDO RAMOS
Programa de Educación Bilingite-CRIC,CRICte luuc' kapiya'sayakh mhisa
"Artículo 1. Colombia es un Estado social de derecho, organizado en forma de República unitaria, descentralizada, con autonomía de sus entidades territoriales, democrática, participativa y pluralista, fundada en el respeto de la dignidad humana, en el trabajo y la solidaridad de las personas que la integran y en la prevalencia del interés general.","F'i'n'i pe'la 1. Kulubyate c'hab wala kiwe' ít'i f'izen'i's nwe'wena ikahsa' Ec Ne'hwes'te ikwehkwesa', isa ic'hac'ha eenteyu' tekh hwedte ipu'kithwa' hi'psa'. Ma'we phewu'n'ina, Kulubya' teec' hwedsac'a'; mte mte kiwetepa áhc'a ikahwa'sa', peek'i ikah kiwete' peek' úushu fi'zewa' hi'pta'; sa' naa kiwete' f'iiy f'iiy úus yaak'sayakhpa pekhakhena úswa'ha'. K'a'weyc'a npicthé'a'sa' c'hab walaku ki'pu'. Ma'we neesn'ina, fi'zen'i h'ukaysahi wétte eena' eena' puuk' eh thegwea'ha'sku we'we, peeh'sapwe's' puuk' pu'c'hwa'ha's; h'ukaysa mahiwa' hi'p; k'azsaynas úuspeyi ha'date c'hác'hawa' hi'p."
"Artículo 2. Son fines esenciales del Estado: servir a la comunidad, promover la prosperidad general y garantizar la efectividad de los principios, derechos y deberes consagrados en la Constitución; facilitar la participación de todos en las decisiones que los afecta en la vida económica, política, administrativa y cultural de la Nación; defender la independencia nacional, mantener la integridad territorial y asegurar la convivencia pacífica y la vigencia de un orden justo.","F'i'n'i pe'la 2. Naa c'hab wala kiwete npicthé'we's'a' nasa hu'ghu ya'yaak'n'i's K'tey yuuna h'ukaysat'i nwe'we hi'pta': c'hab wala h'ukay wét úskiwe'n'isuma'kyuu, h'ukaysahitewe's'ma'kyuu, ipeyni'ma't'yuu, pkhakhec'a úus ki'pn'isuma'kyuu, kwe's' kusesu f'iin f'iin atn'i't'ima't'yuu, naa c'hab wala kiwete kimyuhpa v'ite c'hab wala kiwehuwe's' kuc' akac'hwa' hi'pme, c'hab wala kiwe'pa's ya'c'kadwa' hi'pme, puuk' ewkwe fi'zewa'ha's neesna, mpakac'htepa' áate úswa'ha's. ít'i fi'zen'isu, nasa's, kimyuhpa f'iika tektuthe'me, sa' nasaisa hi'pun'it'imakyuu, mantey úskiwe'n'itewe's't'i yahk'c'a k'tey yuun'it'i, kihypa yuuwemesate ma'wepa yuuwa'ha's, ku'le u'hun'i's kimyuhpa pt'hiden'ime u'huwa' hi'p. K'aha' k'a npicthé'we's'a' naa weh'a's puuk' k'tey kyu'hu'wa'sata': c'hab wala kwekwetewe's'ma'kyuu nasaisahítewe's'ma'kyuu napa h'uka. Nasa walat'i selpiina, h'ukaysa c'hác'hawa'te nuyi'na, yacteyyu ya'yaak'n'i's pu'ze'na, npicthé'we's'a' ikahsa Ec Ne'hwe's'te we'wen'i's selpiwa'sata'."
"Artículo 3. La soberanía reside exclusivamente en el pueblo, del cual emana el poder público. El pueblo la ejerce en forma directa o por medio de sus representantes, en los términos que la Constitución establece.","F'i'n'i pe'la 3. Nasa kuhsayu na'we c'ab wala kiwe kwekweyakh puuk' k'tey selpiwa'ha's itháasn'isa' naasa c'hab walayakhyuc'a ya'yu'skhewsa', naasa c'hab walayuc'ak ikahsa npicthe' kwekwepa's kac'hác'ha'ha' naapa'kate. Ma'wente ipu'kithwa' kasehte' nasa kuhyakhma'k ya'c'hác'ha k'a'we yuumec'a' npicthé'we's'yakhca'ma'k ya'yu'skhew napa ipu'kithya' ya'ewuna, ma'we ipeyn'i's."
Artículo 7. El Estado reconoce y protege la diversidad étnica y cultural de la Nación colombiana.,"F'i'n'i pe'la 7. Naa Kulubyate Ec Ne'hwe's'a' maa nasapa úuskiwe'n'i f'iiy f'iiy hi'psa nasat'pa K'ana'wec'ac'a ha'data' híc'ak nwe'we', naa Kulubya kiwetewe's't'i."
Artículo 8. Es obligación del Estado y de las personas proteger las riquezas culturales y naturales de la Nación.,"F'i'n'i pe'la 8. Naa Kulubyate npicthé'we's'ma't'yuu , maa nasama't'yuu napa h'ukaysa; maa maasahi úskiwe'n'imat'yuu, naa kiwete kihy kihypa ústa'; k'at'i' nwe'wena, ipe'hna f'i'ze hiptha'w."
Artículo 10. El castellano es el idioma oficial de Colombia. Las lenguas y dialectos de los grupos étnicos son también oficiales en sus territorios. La enseñanza que se imparta en las comunidades con tradiciones lingiísticas propias será bilíngue.,F'i'n'i pe'la 10. Waas yuwe' Kulubyate nasa h'ukaysahi'. Napa nasa kiweka' kwe's' yuwe' k'a'weysaic'a'. Naa nasasa c'habsu' e'z yuewetey kapiya'wa'ha'.
Artículo 11. El derecho a la vida es inviolable. No habrá pena de muerte.,F'i'n'i pe'la 11. Kwe's'a' ít'i u'hu hi'ptha'w'. Kimyuhpa ikhya' ewuumena. Sa' kikhe'ya'pa ewuwa'mesa'. Ec Ne'hwe's'te' makwe yuuwetepa ikhkahacme'.
"Artículo 12. Nadie será sometido a desaparición forzada, a torturas ni a tratos o penas crueles, inhumanos o degradantes.","F'i'n'i pe'la 12. Kimyuhpa nasa nwe's'a's huuna' uwec'a í'suthya' ewumena, pk'uya', pápaya', kyac'hi'ya', ithaakwe kuk'the' yuuna, kaythameya' ewumena."
"Artículo 17. Se prohiben la esclavitud, la servidumbre y la trata de seres humanos en todas sus formas.",F'i'n'i pe'la 17. Maa nasayuhpa's k'ultec'a kaselpi'wa'me' nasanwe's'a's ma'weteyuhpa.
Artículo 18. Se garantiza la libertad de conciencia. Nadie será molestado por razón de sus convicciones o creencias ni compelido a revelarlas ni obligado a actuar contra su conciencia,F'i'n'i pe'la 18. Nasa' peek' úuste ma'we yaak'n'i' yuuwemesa'. Kimyuhapa kihysu pekhakhena u'hupa'ka huunayuu pkhakh kaakwede'n'i u'hu hi'pme'.
Artículo 19. Se garantiza la libertad de cultos. Toda persona tiene derecho a profesar libremente su religión y a difundirla en forma individual o colectiva. Todas las confesiones religiosas e iglesias son igualmente libres ante la ley.,"F'i'n'i pe'la 19. Maa nasapa kihyte úusa's ya'newe'wen'i hi'puwéc'a hi'puwa'c'a', nasa úskiwe'n'itema'kyuu, napa naa Kulubya kiwete' ma's hiyuc'a u'hac'a' hwe pta's'ya' ewuna teec' teec'ma'kyuu meec'a' kuhsat'i. Úusa's ya'newe'wen'isa maama'kyuu napa Ec Ne'hwe's' d'i'pte' k'ana'wec'ac'ata'."
"Artículo 24. Todo colombiano, con las limitaciones que establezca la ley, tiene derecho a circular libremente por el territorio nacional, a entrar y salir de él, y a permanecer y residenciarse en Colombia.","F'i'n'i pe'la 24. Kulubya kiwete' maa nasapa pekuhna fi'zewa' hi'pa' ki' kasehna, ki u'kana ; mte fi'zeya' yuhuwec'a'pa yuhuwa'. Mte kiwesupa Pekuhn'i's Ec Ne'hwe's'hu yuhsa yuweyu pt'ihdeme ha'dayu'."
"Artículo 27. El Estado garantiza las libertades de enseñanza, aprendizaje, investigación y cátedra.","F'i'n'i pe'la 27. C'Hab Wala's ikahsa' thegu hi'pa' kapiya'sat', hiyuya' pakwen'it', kihyt'ipa kapiya'ha hi'pa' k'a'sa' kimyuhpa yupya' ewumet'na."
"Artículo 30. Quien estuviere privado de su libertad, y creyere estarlo ilegalmente, tiene derecho a invocar ante cualquier autoridad judicial, en todo tiempo, por si o por interpuesta persona, el Habeas Corpus, el cual debe resolverse en el término de treinta y seis horas.","F'i'n'i pe'la 30. Maa nasat'pa yuuwemekit' k'aaphte' Habeas Corpuste pu'kithwa' hi'pa', peekima'kyuu, K'a'wemete' yuwe ipi'k'c'a; aca' Ec Ne'hwe's'su ikahsa' npicthé' ki'pn'isa' e'z eenc'a tekus ahate' yuwe's áate nv'itu hi'pta'."
"Artículo 40. Todo ciudadano tiene derecho a participar en la conformación, ejercicio y control del poder político. Para hacer efectivo este derecho puede: 1. Elegir y ser elegido. 2. Tomar parte en elecciones, plebiscitos, referendos, consultas populares y otras formas de participación democrática. 3. Constituir partidos, movimientos y agrupaciones políticas sin limitación alguna: formar parte de ellos libremente y difundir sus ideas y programas. 4. Revocar el mandato de los elegidos en los casos y en la forma que establecen la Constitución y la ley. 5. Tener iniciativa en las corporaciones públicas. 6. Interponer acciones públicas en defensa de la Constitución y de la ley. 7. Acceder al desempeño de funciones y cargos públicos, salvo los colombianos, por nacimiento o por adopción, que tengan doble nacionalidad. La ley reglamentará esta excepción y determinará los casos a los cuales ha de aplicarse. Las autoridades garantizarán adecuada y efectiva participación de la mujer en los niveles decisorios de la Administración Pública.","F'i'n'i pe'la 40. Maa nasapa h'uka thé'na kabasa' c'hab wala itháasn'isu kwekwe's ipa'kana, ew thegna, ma'we v'itn'isupa u'kawa' hi'pa'. K'su' na'wesu tuduya' ewuwa'ha': 1. Kwekwe ki'pya', meec'a' ki'pn'iyuuya'. 2. Npicthé'sa' kihy yuuwa' úste' c'hab wala's h'ukay pkhakhc'a papeyina, ha'dac'ac'a yahk'mete'; k'te kt'hit'hi'hi hi'pa'. Kihy yuuwa' úste' npicthé'we's' c'hab wala's ya'papehyte' K'a t'hit'hite' ih ya'úsuna: Kihy yuuya'pc'a npicthé'a' c'hab wala's ewuma'k ewumema'k hin'ima'kyuu. Ikahsa ec ma'we f'i'n'i ústepa c'hab wala hu'ghumesate' k'te ivituwa'ma'kyuu sa' iv'ituya' ya'ewuna. 3. C'hab wala ithiáasn'ite yahk'c'a yu'pkhakhewa' v'itya', kwekwe ipa'kana, peek' úuste u'kana, mhi's hwe pta's'na u'huya' ewuna, kimyuhpa yupn'ime. 4. Ec Ne'hwe's'te, Ec Ne'hwe's'hu yuhsate pu'kithc'a c'hab wala' npicthé' ki'pn'isat' k'a kwekwe's kha'khudeya' ewuna. 5. Ikahwa' v'itn'i kwekwesu úus ki'pna. 6. Maa nasapa h'ukay ikahsa Ec Ne'hwe's'a's Ec Ne'hwe's'hu yuhsa yuwe's nwe'wewa' hi'pta'. 7. Maa nasapa c'hab wala ikahn'i kwekwe's ipa'kac'a kwe's't'i nuyi'ya' ewuna. Napa naa Kulubya c'hab walahume yuhsa ayka f'i'zena k'ah' kiweka f'i'zena yuusa' kwe's't'i nuyi'ya' ewumena. I'nee Ec Ne'we's'hu yuhsa yuwe ku'le'teyu' mhiya' ewuna. Naa mhisu' u'ypa ikahwa' v'itn'i kwekwesu mtepa u'kakan npicthé'sawe's'a' pu'ze'het'na."
"Artículo 43. La mujer y el hombre tienen iguales derechos y oportunidades. La mujer no podrá ser sometida a ninguna clase de discriminación. Durante el embarazo y después del parto gozará de especial asistencia y protección del Estado, y recibirá de este subsidio alimentario si entonces estuviere desempleada o desamparada. El Estado apoyará de manera especial a la mujer cabeza de familia.","F'i'n'i pe'la 43. Kulubyate' u'ymakyuu, picthé'ma'kyuuna' ha'dac'ac'a fi'zewa' hipta'. U'ya's kimyhupa e'skhe nv'itu hi'pmeta'. Tut'hte nasa hi'ppa'kac'a e'skhe nv'ihtwa'me, nasa's hi'putepa le'c'kwesa's thé'sa' wala ew thegwa' úsa'; aca' nmi' hi'pmec'a, mhipa hi'pmete' c'hab wala's ikahsa ú'wa'ha's usu hi'pa' hí'k, c'hab wala's thegsa' u'ya's nmeh ew thegwa' hi'pta'."
"Artículo 44. Son derechos fundamentales de los niños: la vida, la integridad física, la salud y la seguridad social, la alimentación equilibrada, su nombre y nacionalidad, tener una familia y no ser separados de ella, el cuidado y amor, la educación y la cultura, la recreación y la libre expresión de su opinión. Serán protegidos contra toda forma de abandono, violencia física o moral, secuestro, venta, abuso sexual, explotación laboral o económica y trabajos riesgosos. Gozarán también de los demás derechos consagrados en la Constitución, en las leyes y en los tratados internacionales ratificados por Colombia.La familia, la sociedad y el Estado tienen la obligación de asistir y proteger al niño para garantizar su desarrollo armónico e integral y el ejercicio pleno de sus derechos. Cualquier persona puede exigir de la autoridad competente su cumplimiento y la sanción de los infractores. Los derechos de los niños prevalecen sobre los derechos de los demás.","F'i'n'i pe'la 44. Kulubyate' maa luuc'pa's nmeh ew thegna nuythé'wa' úsa'. Naa Kulubyatewe's'c'ame k'a'wecehk f'i'zewa' hi'pta': ít'i f'i'zewa' hi'p; pk'un'ime; kát'h u'huwa', ew puucn'i: kiwe yase hi'p; mtewe's'ma'kyuu sa' k'ah' c'hab hi'p; nwe's' tas'hu t'udewa'me; wátan'ime; úskiwe'n'i hi'p ; v'isn'i, pwese'n'i hi'p; ma'we úus huthetepa we'we hi'pta'; kwekwete, úustepa ewmeyuun'ime u'huwa'sa'; suthc'a ulpeyme; k'waypame; nuuwepame, k'uulte kmahi'n'ime; kpa'yuwa'su kmahi'me. Nwe's'we's', nasa wala, c'hab wala's thegsapa h'ukay luuc't'i' paanwe'we hi'pta'. Luuc'a' wétte walaana Káhya' ewukan, thé'na kabac'a' nasnasa f'i'zewa'ha's hi'pukan. Luuc'a's ewme yuucte uyc'a' maa nasama'kyuu napa ne'hwe's' tas'te paat'hi'kya' ewuna. Ec Ne'hwe's'a' maatepa ithaakwe luuc'a's pu'ze'na úsa'."
"Artículo 63 y 72. Los bienes de Colombia son de todos: bosques de parques naturales, tierras comunales y de resguardos indios, los restos antígilos. El patrimonio arqueológico y otros bienes culturales que conforman la identidad nacional, pertenecen a la Nación y son inalienables, inembargables e imprescriptibles. La ley establecerá los mecanismos para readquirirlos cuando se encuentren en manos de particulares y reglamentará los derechos especiales que pudieran tener los grupos étnicos asentados en territorios de riqueza arqueológica.","F'i'n'i pe'la 63 y 72. Naa kulubyatewe'shi hi'pun'i kihy kihypa ústa'na' h'ukaysahítewe's'ta': f'tú wala yu'kh, nasawe's' ks'av' kiwe, hu'gthé'we's' nv'itn'i uu kaf'suwe's'; k'aa' kwe's' c'hab walahi'sahíc'ata'. Naat'i's kimyuhpa f'ihuwe's't'i k'wayya' ewuwa'mesa'; waasma'kyuu waasmema'kyuu napa yuulpa'ka pu'ze'ya', suwya', iv'ituya', ewya' K'ac'h k'ah' kusete yaatthu híc'a yaamuya' k'a'wemec'a' nasasa ks'av' kiwetewe's'thu híc'apa ewuwa'mesa'; K'a'sa' c'hab walate npicthé' nwe'we hi'pa'. Hu'gthé'we's' v'isn'it'i' nasasayakha' Ec Ne'hwe's'ic'a nasasawe's' kusesu ha'da nv'itu hi'pa'. "
"Artículo 70. La cultura en sus diversas manifestaciones es fundamento de la nacionalidad. El Estado reconoce la igualdad y dignidad de todas las que conviven en el país. El Estado promoverá la investigación, la ciencia, el desarrollo y la difusión de los valores culturales de la Nación.","F'i'n'i pe'la 70. Mpakac'tepa úskiwe'n'it' isa C'Hab wala's teec'sana'wec'a úswa' pa'ha'. C'hab wala's ikahsa npicthé'a' maa úskiwe'n'it'ipa h'ukasat'ik Kukubyatewe's't'i' teec'sana'wec'a eh thegu', sa' K'asa maat'ipa nuyi'na ki' mte mtepa ktuthe'wa' hi'pa."
"Artículo 246. Las autoridades de los pueblos indígenas podrán ejercer funciones jurisdiccionales dentro de su ámbito territorial, de conformidad con sus propias normas y procedimientos, siempre que no sean contrarios a la Constitución y leyes de la República. La ley establecerá las formas de coordinación de esra jurisdicción especial con el sistema judicial nacional.","F'i'n'i pe'la 246. Nasasa ne'hwe's'a' pee'k' ús kiwete' peek' úuste nasat' ipe'hna úsu hi'pta', ma'we nasa ipe'n'i hi'pya'c'a' nasat'i k'tey yuuna k'aisa áate ipehna; ikahsa Ec Ne'hwe's'tewe's't'i tas'te nvihtme ha'dayu'. Sa' Ec Ne'hwe's'hu yuhsa yuwe' nasasa ne'hwe's'pwe's'a' puuk' ha'da yuuna f'i'zewa'ha's vituna."
"Artículo 287. Las entidades territoriales gozan de autonomía para la gestión de sus intereses, y dentro de los límites de la Constitución y la ley. En tal virtud tendrán los siguientes derechos: 1. Gobernarse por autoridades propias. 2. Ejercer las competencias que les correspondan. 3. Administrar los recursos y establecer los tributos necesarios para el cumplimiento de susfunciones. 4. Participar en las rentas nacionales.","F'i'n'i pe'la 287. Naa ikahwa' t'utedn'i kiwete' maa maapa peek' úushu yuuwa' hi'pta', K'awe's' ithásn'ite ma'we ipeyn'i ha'da, Ec Ne'hwe's' mtepa' ikah ha'da. K'a weh'ate na'we yuuwa' hi'pta' hí'k : 1. Peek' ne'hwe's'yakh ya'ikahna teús. 2. Kwekwe's ipa'kac'a' ne'hwe's'a' c'haba's k'tey yuuwa' hi'pta'. 3. Hi'pun'i ikahn'i kwekwetewe's't'i ew thegna, pkhakhn'i v'u u'kasa's ew kaselpina,K'tey K'tey yuuya' ya'tuduya'. 4. C'hab wala kiwete pkhakhn'i v'ua's ipa'kana."
"Artículo 329. La conformación de las identidades territoriales indígenas se hará con sujeción a lo dispuesto en la Ley Orgánica de Ordenamiento Territorial, y su delimitación se hará por el Gobierno Nacional, con participación de los representantes de las comunidades indígenas, previo concepto de la Comisión de Ordenamiento Territorial. Los resguardos son de propiedad colectiva y no enajenable. La ley definirá las relaciones y la coordinación de estas entidades con aquellas de las cuales formen parte. Parágrafo: En el caso de un territorio indígena que comprenda el territorio de dos o más departamentos, su administración se hará por los consejos indígenas en coordinación con los gobernadores de los respectivos departamentos.","F'i'n'i pe'la 329. Nasasa ikah kiwe v'itwa'ha'sa' naa c'hab walate ikahsa npicthé'isa mptepa' ikahwa'ha's suk'tad'c'a nv'ituna, Ec Ne'hwe's'hu yuhsa Kiwe Yuwe Yu'skhewsa ma'hína we'wete. K'aha' kiwe yuwetewe's' Ec Ne'hwe's'a' f'ii v'ituna; napa nasa h'ukaysa teec' hwedc'a ikah kiwe's yahk'ya' tudu ha'da; ki' k'atewe's' newe'wen'isa npicthé' d'ipte. Tudte f'i'n'i pela 38te Ec Ne'hwe's'tewe's' we'wen'i's k'tey yuuna. Napa nasasa kiwe' h'ukaysahí', naa kiwe' nasasame iamuna úswa'me'. V'ite ikah kiweyakh ma'we puuk' f'i'zewa'ha'sa' Ec Ne'we's'hu yuhsaic'a k'a'sa' we'wena. KU'TA : Yacte t'uden'i kiwesu e'z ithakwe nasa ikah kiwe puuskhewna úste', k'a's ikahwa'ha'sa' nasasate Yuwe Dukhsawe's' pkhakhen'iyakh k'tec'ac'a pd'i'puc'acehk thegut'na."
