esp,nas
"Artículo 43. La mujer y el hombre tienen iguales derechos y oportunidades. La mujer no podrá ser sometida a ninguna clase de discriminación. Durante el embarazo y después del parto gozará de especial asistencia y protección del Estado, y recibirá de este subsidio alimentario si entonces estuviere desempleada o desamparada. El Estado apoyará de manera especial a la mujer cabeza de familia.","F'i'n'i pe'la 43. Kulubyate' u'ymakyuu, picthé'ma'kyuuna' ha'dac'ac'a fi'zewa' hipta'. U'ya's kimyhupa e'skhe nv'itu hi'pmeta'. Tut'hte nasa hi'ppa'kac'a e'skhe nv'ihtwa'me, nasa's hi'putepa le'c'kwesa's thé'sa' wala ew thegwa' úsa'; aca' nmi' hi'pmec'a, mhipa hi'pmete' c'hab wala's ikahsa ú'wa'ha's usu hi'pa' hí'k, c'hab wala's thegsa' u'ya's nmeh ew thegwa' hi'pta'."
mono nocturno,wenze
llamarse,"yaase-, ya'yaase-"
traer,"jyú-, jyúna pa'j-, pe'jna pa'j-"
hacer cortar,cwaaca'j-
chancear,chjacue we'we-
retoñar,ye'chi-
aguacero,ñus wala
fortalecer,cchjáachja'j-
probar,"yajpe-, yapeepe-"
adelante,yatste
raíz,"watse, wetse"
condimento,peetjenisa
reemplazar,pu'yacj-
hacer desyerbar,cviisu'j
intervenir,paanwe'we-
cortarse,jypejcue-
traer,"nuyséj-, nuyquíj-"
jactarse,iiwejch we'we-
desagradable,wétmée
pelear,puuty puii-
sin vergúenza en el alma,úuste thaamewa' hipme
amanecer,pe'te-
tusilla,shande
hacer cambiar,caayu'ptje'j-
ralo,cash
poner huevos,duu-
carne,chich
hacer encargo,neecaj-
ala de sombrero,chwa' ets
tocar,"jya'ndy-, jya'ndyi'ndy-"
escuchar,wése'j-
mensajero,yuwee pta'shsa
trocha,pé'tjñi
impedimento,yupsa
primogénito,"nyafyte luuch, ne'sh, ne'shtjé'j"
estar despierto,ítyí ús-
guagua,ñu'py wala
asado,cjacjnisa
zarigüeya,chucha
lana escarmenada,cjas pjapj
mal,ewmeesa
sanar,nuycatyji-
uva silvestre,camañún
nombrar gobernador,ne'jue'sh qui'p-
prender,uwe-
derramar,pcaw-
arisco,jamby
gotear,"sund, quityji-"
resucitar,qui' ítyí yuu-
telar,taw tel
cargar,ctu'se'j-
atrás,"e'su, e'ste"
hacer buen tiempo,en ewuu-
regar,pcamb-
hacer poner,caypatje'j-
respetar,respetaí-
"Mosoco, Septiembre 30 de 1993","Musukwe, Septiembre a'te 30 1993tewe's'."
moler,lu'l-
molestamente,cuch
conciencia,úusutjeni
indígena andaquí,daaquí
sucio,cjúch
ser nombrado,ya'cysus-
cacarear,pembée-
poco,"teechcue, cujmée"
sancochar,patyji-
mayores,tjé'jsawe'sh
cidrayota,shwa'
pasto,pastu
papá,tata
acercarse,utyáa-
sentir 'señas',"ta'ñi-, jyta'ñi-, pil ése-"
leve,wejcue
ciudad,"shamb wala, chjamb wala"
dar,úsu-
pescar,wendy uwe-
partir,"pe'lande-, pe'ltende-"
chorrear,susúu-
envejecerse,"íishi-, tjé'je-"
enorgullecerse,iiwejch yajcy-
de dos en dos,e'nz e'nz
casa,yat
zurdo,jembu cuseju
jugar,pweesa'j-
tambalearse,"waca'ca-, atscue-, tjuja'ja-"
tomar,tundy-
estar panzón,buc-
coral,ñavytu'c
silbar,"fi'fy-, fyu'fy-, fyu'fyu'ju-"
déspota,ya'úucjsa
en la mano,cúsete
cinturón,jytundnisa
esposo,nyu
uno por uno,teech teech
en voz entrecortada,tu'ctu'c we'we-
repartir,"jytyunde-, jytyundende-"
derramarse,umbu-
hacerse responsable por otro,iipe'j
enfriar,finzée-
mando del pueblo,C'haba's ikahsa
casar,caamba'j-
defenderse,iindeewe-
bramar,shitáa-
látigo,chu'nzhu
ungir,shúsh-
comer lo ajeno,nú'we-
jáquima,cjaquima
labio,"yuwe, yuwe vits, yuwe cja'ty"
olor,wét putasá
sentir,yajcy-
o...o,ma'c yuu...ma'c yuu
peña,ejy
tender,"pume-, pus-, tende-"
maizal,shimb ej
torcer,me'm-
oler,jyputá-
puño,tut
mejicano,peetjé
paja brava,pi'py
reprender,"ícy-, ícywe'we-"
lograr tocar,cpaajya'ndy-
rechazar,weechi-
jinete,a'jsa
lograr detener,cpaanewe-
hacer confesar,caacmbeesa'j-
ocultarse,sec cjéj-
caña brava del páramo,cjísha
vómito,punga
junco,"pi'py , pi'pi"
hermana mayor,yacjtjé'j
obedecer,nwéese'j-
junto a,utya
tocar,"utsje-, utsje'tse-"
débil,chjáchjamée
devolver,caashwendu'j-
mantener,"nuype'j-, nuyfi'nze-"
lama,"sha'cy, cha'cy, yu'sha'cy"
guadual,mum yu'cj
jefe,npiitstjé'j
madre con hijo u hija,pnjí‘j
hablar mal,canzh we'we-
camino del andar armónico,Wét u'hun'i d'i'
hacer mentir,caaíshi'j
espíritu guardián,vitywe'sh
penoso,tjamejy
lograr capujar,"cpaachaty-, cpaaupacy-"
rama,fytú cu'ta
pasar,pesaja-
hermano,"ndyiy, ndyi'sh"
retoñar,bucha-
piedra,ú'cj cuet
descargar,spáash-
desenjalmar,cjalma spajcy-
verano,"ejnz, enz en, sec en"
levantar mala fama,"ewmée tutje-, canzh tutje-"
causar sombra,"pshú'ju-, caapshú'j u'j-"
molleja,shúcy
lengua,tjune
grato,wecha
agotarse,ujndy-
a ver,aan
enflaquecerse,"talli-, íchj-"
dedo pulgar,cuse njí'j
vulva,cush
echar huso-,cshi’ta'j-
lavar,pcji'cj-
acostumbrarse,styaj-
tuétano,tuta'
achicar,nuyle'chi-
mascar,pe'tse-
llegada,"pa'jwa'j, pa'jni"
bendecir,bendecí-
persuadir,neevisha-
apañar,pu'uwe-
cubrirse,yaanz-
ser mezquino,"úshi'ndy- , sendy-"
guacamayo,well wala
empeine,chinda pétyj
útil,seelpisa
untar,cu'nd-
espesar,wata-
informar,pta'sh-
parir,duu-
pagar,dewe-
sangrar,yechi-
paloma silvestre,yu'cj tumb
crecer,jyu'ja-
orilla,puts
jabón,cpun
deudor,"yulusá, yulsá"
pelea,puíini
tasajear,yuja'j-
repartir,"tyujnde-, tyundende-"
rajarse,"ujcha-, pjate-, pjatete-"
hablar distinto,fiy we'we-
freír,cviitj-
hiel,wájy
atrancar,pchatj-
rico,ji'pjsa
yerba,jép
Musukwete Khabuwe's'.,Musukwete Khabuwe's'.
guatín,"lanzh, ñu'py le'chcue"
naranja,llima
feo,canzh
ciertamente,"dyij, yuj"
junto,ij
calabazo,tuca
hacer verano,"secúu-, ejnz yuu-"
duelo,ñusu en
en voz alta,sus we'we-
morder,pqui'se-
lograr,pejca ewuu-
quebrar,"chcande-, chcandende-"
sudar,pé'tsu-
cuero,cja'ty
hacer daño a una persona,ptjáawe-
horqueta,"shá'py, chjá'py"
contaminar,pta'nza'j-
compartir,jytyunde-
guala,sapete
inflamarse,tu'c-
desagradar,cwa'lu'j-
hacer barro,tyiityi'j-
cerebro,pe'pe
hacer cubrirse,caapá'chi'j-
respiración,úuseni
alentado,wét fi'nzem'
mafafa,"pwel, á'sh"
ablandarse,lupe-
descoyuntar,flndy pang-
bagazo,ñusha cja'ty
consuegro,ncumbale
hacer barrer,cpandu'j-
encontrar,pjiw-
comparar,caaja'nda'j-
acercar,"cuutya'j-, nuyutya-"
recíprocamente,puuty
ganado,cla
tener,úucj-
limosna,lmushnu
pezuña,vyllill
persona que cohabita con otro,npi'qui
poner,acjicj-
ensayar,isa-
asesino,nasa icjsa
bueno,"ew, ewsa"
fuera de,"eca, ecaj"
plátano,"pland, tlu"
mascar coca,"ésh pe'tse-, ésh ú'we-"
ambos,e'nzíi
andas,aandas
año pasado,jú'na aañu
transformar,yu'ptjej-
cada,iisa
cuchichear,susmée we'we-
fétido,cjáp
abanicar,cweejya'j-
suficiente,áj
sumamente,iiméj
dar rasquiña,yuuse'je-
bobo,ul
arena,"cuetmuse, muse"
dar rabia,pyúuscue-
aglomerarse,iica'cana us-
larva,buts
picante,yaj
hacer abrir,caapjande'j-
perro,alcu
sitio abandonado,fynu
fosa nasal,íts cafy
fin,nmej
caída de agua,qui'na
hacer pensar,caaúusutje'j-
apestar,canzh putáa-
moverse,"ése-, ése'se-"
rasgar,"stende-, stendende-"
correr,wuwúu-
liviano,"ése, dujmée"
"erizo, puerco espín",tjuw
escogido,tyjityjnisa
perforar,"swejnde-, swendende-"
pisón,pisún
venir,ew pa'j-
neblina,táapj
durar,tjéeyúu-
chicha fermentada,beca pus
mentir,cami-
ciruela silvestre,tsunde
"colibrí, esmeralda","e'ts, e'tscué"
curtir,cja'ty cu'nd-
llorar,ú'ne-
torcaz,"quiwe tumb, yu'cj tumb"
fruncir las cejas,quindqui'cj-
fruta,"ñun, ú'nisa"
amontonar,"muutsu'j-, cluuvi'j-"
nube,táapj
áspero,"shic, shictjé'j"
unido,cyteerraj
colgado,a'cyni
iluminación,cweetjnisa
mirar,"tjeng-, tjengu'ngu-"
"colorado, rojo",bej
ronco,"pétyj se'seni, pétyj apjani, pétyj ujndy"
saliva,fyne'sh
opacar,tu' vi-
lado opuesto,cute
rezar,lisáa-
líder,nuy i'nsa
chuzar,nyája-
robusto,pepy
"chanza, broma",chjacue we'we
miel,mil
golpear,"ujca-, ijca, uca'ca-, iica'ca-"
hacha,am
río,yu'wala
analfabeto,léeya' jiimeesa
mostacilla,puca
hacer ruido,bu'mbu-
inclinar,quíitsju-
pensamiento,úus yaacyni
erizarse,shiina' yuu-
 muchedumbre,nasa kuhsa
chumbe,taw
estar desalentado,fiycáj-
trasladar,peefynicy-
escoplo,chang
encorvado,tuñ
cumbrera de la casa,yat cluu
botar,"wáatáj-, wáatátáj-"
"cuanto, ¿cuánto?","manz, manzcué"
tía con sobrino o sobrina,ptsuuts
diferente,fiy
poder,"aja-, ewuu-, chjáchja-"
delante de,tashte
entonces,"tyajú', cyajú'"
sentir calor,yaacha-
cocina,csina
"estar embarazada, encinta",nasa ji'pj-
"bola, forma de",jyú'nzh
adelgazar,peetsu'j-
sembrado de fique,bats ej
chucha,chucha
cancionero,mem ets
"aquél, aquélla","cyáa, tyáa"
longitud,pesatj jyu'j
rosado,bejbej chijme
bodoquera,fytúpatj
persona adulta,nasa thé' kabasa
burbujear,bu'ch-
borrachera,túu
estar hambriento,wéepang-
mentiroso,íshiisa
"izquierdo, a",jemb-
caripaspada,wat
ayudante,pu'chsa
cosquillas,ele
"Artículo 17. Se prohiben la esclavitud, la servidumbre y la trata de seres humanos en todas sus formas.",F'i'n'i pe'la 17. Maa nasayuhpa's k'ultec'a kaselpi'wa'me' nasanwe's'a's ma'weteyuhpa.
rodar,tandyíi-
soltera,"nmi' ji'pjmeesa, imi'meesa"
mambe,cuetand
martingalvis,tsundefy
desaparecer,vyaamée-
pantalones de liencillo,much
golpear,pu'tata-
entregar,paanducj-
desprecio,atsewe'weni
aliviarse,case-
tristeza,"ñusu en, ñuswa'ja'"
volver,shawend-
enseñanza,caapiya'jni
uno,teech
hablar a favor,ju'ngu we'we-
curar olla,peme'j-
joven,pitstacy
provocar,cvis-
guiñar,csé'sé-
animal silvestre,yu'cj ech
hacer perdonar,caapeltunaí'j-
gusano,"wes, ucj, ú'shic"
defecar,úch-
cansarse,wajty-
manco,cuse much
madera,fytú
"levantar fama, crear fama",tutje-
conceder,ús-
ordeñar,cla's cu's-
ardor,acha
parálisis,jyandu wee
regar,"púsh-, pujmb-, pumbuumbu-"
preocuparse,cuch yajcy-
por donde,msuu
alinear,cu'le'j-
reunión,pcjaacjeni
descuidado,jypa'yajcymée
hacer tragar,caycjéje'j-
apagar,fichja-
dar fruto,ñun-
yema de huevo,zits bej
filudo,"chújwa, chújwe"
al revés,"fiiju , ca'tu tupyrra"
cubrir,apj-
tendido,pusni
tres,tecj
abundar,pej na-
vereda,nasa dyi'j
día siguiente,"cuscay, cuscus"
romana,isani
garra,vyllili
meter en,yu'acj-
apodo,shaacue yase
más y más,jweeíirráa
molestar,cuch we'we-
consigo,"tyaa, yacj, cyaa, yacj"
rayado,"fi'j, pend, peendu'jni"
maguey,sha'sh tu‘j
hacer pedazos,"petsate-, petstende-, petstete-"
dedo del pie,"chinda vyllill, chinda vi'y a"
cachorro,quishcue
hígado,me'cy
echar la culpa,yuwe ucje'j-
almud,almun
tesoro entrante de la Nación,C'hab wala kiwete pkhan'i v'u u'kasa
sonar,"snda'nda-, sndaanda-"
cohabitar,ij fi'nze-
reemplazo,pu'yacjsa
juez,cjués
llenar,utáa-
oler,wét putáa-
recurrir en alguna de las forma de protección,ya'nwewen'i
"Durante más de un año, los linguistas indígenas organizaron equipos de traducción y reuniones con las comunidades para estudiar los textos, crear o rescatar términos, someterlos a discusión. En más de una ocasión tuvieron que volver a empezar porque la gente no entendía. Cada dos meses se reunían con nosotros en Bogotá donde examinábamos las dificultades entre todos y tratábamos de ayudar.","Teec' a'kaf' ithaakwet' nasawe's' yuwet'i hiisawe's'a' nasa walayakh pkhakhec'a Ec Ne'hwe's'a's yaf'te hiyuna 'úsu', we'wewa' yuwe u'se kuki'pc'ahte' v'itna, ks'av'su' yacka thé'we'wen'i yuwe íis't'iy f'ít'hna; sa' ki'kin nasa wala pkhakhewa' v'itc'a puuk'we'wenat' úsu'. Nuykmahi'sawe's'a' mazuspa ki' nasawe's' tas'na u'hna úsu't' nasa kuhsayu ew áate hiyume ha'dayu'. KHíc'a e'z a'teisatha'w Buuktate yu'pkhakhena úsu' kihy théysa v'aactepa ih puuk' pu'c'hya'."
duro,wejy
echar,"amb-, ambu'mb-"
olla,mityj
desmoronar,cu'ch-
expulsar,neeuu-
estar,u'p-
multiplicar,cúja-
colocar espantapájaros,caanasa'j-
chupaflor,e'tscué
cepo,tel
papa,"ca'ca, ca'ga"
saludo,yuwe wecha
flamear,cleechi'chi-
hongo,meshish
lechuza,"cupe, tyi'fy"
rezandero,"lisasá, llisasá"
compromiso de ambas partes,puuk' k'tey yuuwa' hi'pun'i
bifurcación,yu'shápy
viruela,butswee wala
responsabilizarse,iipe'j-
empachar,cchiiwa'j-
palabra,"yuwe, we'weni"
maullar,mish pembée-
barranco,peñacjé
atar,tund-
apadrinar,neeney yuju-
roncha,buta
vela,bela
desprender,cja'tyinde-
sarampión,buts wee le'chcue
planta,ze'nze
obrero,mjíisa
subir,nuytejca-
escopeta,"úpatel, scupeta"
desparramarse,úshi-
carate,claatyi
sacudirse,jysaacuecue-
arriba,"éete, éesu, tjacue"
tapar,afijmb-
aparte,"fii, fiite"
aventajar,puutejca-
aliso,pinzú
derecho,cu'le
mariposa,"smejme, tsmejme"
evidentemente,áandyija'
canturrear,tutu'tu-
comprometerse,pas-
llanto,ú'ne pety cjacj
alejar,cutyi'j-
"Los que discutieron y escribieron esta nueva Constitución se llaman constituyentes (en castellano). En este proceso logramos meter tres indígenas por lo menos: a Alfonso Peña, Lorenzo Muelas y Francisco Rojas Birry. De ese modo hemos hecho un poco de introducción allí de nuestros derechos y nuestro pensamiento en la actual Constitución. Y ese es el resultado de una larga y muy larga lucha por la tierra y por nuestra unidad. Con esto hemos conseguido para vivir un día más y para que se nos respete; eso es lo que está diciendo en los artículos que siguen.","Ác'hwe's' Ec Ne'hwe's'a's waas yuwete phu'se'sa' wala puuk' we'wena f'i't'; waas yuwete' Constituyente hín'it'yu'. K'a phu'se'wa'te' nasasa ha'da úkahyuu tekhpwe's'c'apa ka'ka'tha'w: Alfonso Pen'a, Lorenzo Mwelas, Sisku Rujas Birry we's't'i. K'a'we yuuc'atha'w naa Ec Ne'hwe's'te kwe's' úus yaak'n'i's, kwe's' hu'ghutewe's'a's kakhe'na pa'h, napa ác'hme sena k'ac'h kiwe's puuyina úsc'a. Ác'ha', naayakha' teec' eenkwe f'i'zewa'yu' uyc'a ústha'w, k'a K'a'we f'i'n'i pe'lasu we'wena úsa'. Naa Ec Ne'hwe's'yu' kwe's't'i yu'thegwa'te yuuya'yu' yuuk napa ecyu ecc'asayu' peek'yu' kwe's't'i nwe'wemena, isateyu' úskiwe'n'ite yahk'c'a pu'kithwa' úsa'. Nasasapwe's' wala íchewa' peeh'sa'; teec' úusc'a ki'pc'a, c'hác'ha yuhuwa' wala peeh'sa', Ec Ne'hwe's'te we'wen'i's k'tey kyu'hu'wéc'ayu' kwe's' pehin'it'. Kwe's' itháasn'it' yahk'me dehna khen'ina'we úsunkha'w acyu' selpiimena, k'himec'apa v'ite yuwetewe's'thu hínac'a pús'i's'ithé' yahk'c'a úsunkha'w ac'yu' bakac'yuhpa ha'dac'a c'hác'ha úswa'yu' v'amena, í'apathé'yuc'a úswa'yuuc'a kasehena. Nasasac'a' nasasahi'pwe's'na'wed'ih, pyakhna'we, hu'gthé'we's' úskiwe'n'ite ha'dac'ac'a, kac'hác'ha'wa'te íchateme úswa'ha's yahk'teyuc'a naa Ec Ne'hwe'ste we'wen'i's k'tey kyu'hu'te wétkwee ya'f'i'zena."
niño,cué
tripa,meetu'j
hacer gritar,"cpeembe'j-, cweeyi'j-"
también,-va
tirante,catj
"su, sus","tyajy, cyajy"
domesticar,caastyaja'j-
boca abajo,"peecytuty, pquipja, teecjée."
volar,fyuj-
usted,"indy, i'cue"
coronilla,tjá'mbush
gallinero,atall yat
cuidar de,paatjeng-
limpiar café,café vis-
Responsable de la Traducción,Responsable de la Traducción
hacer arreglar,caapj eu'j u'j-
a un lado de,pucate
esconder,sútj-
tamal,pullu
cortar,"spé'tj-, spé'tje'tj-"
quitar tiempo,ptyinde-
herir con golpes,npejcue-
pulmón,"me'cy shú, me'cy shwawa"
arrear,yatsqui'p-
algo,quíjva
alumbrar,peecjicj-
cortarse,iiwajca-
animar,cchjáachja'j-
lágrima,"yafy yu', yafy dyic"
enfermarse,átsá'-
marca,iisawa'jni
tarabita,"dund yaj, tund yaj"
colina,vits
"Lo que está aquí escrito en Nasa Yuwe es la organización de-la vida de los colombianos ""blancos"". También a los indígenas nasa por estar dentro de este territorio colombiano nos compete conocer esa organización, para estar claros en qué situación estamos y cómo debemos concertar, si hoy hemos llegado a resistir por estos 500 años. ","Ayte na'we f'i'n'i úsa'na', naa Kulubya c'hab walakiwete waaswe's' f'i'zen'i's ikahsa Ec Ne'hwe's'a's nasa yuwete f'i'n'i. Nasasapa naa Kulubya kiwete úspa'kayu' f'i'zewa'ha's mawe v'itn'itepa ew hiyuc'a úswa'ic'ak kasehe', ma'wetepa ew áate hiyuc'a ma'wete úsc'apa ki' k'a isai waas npicté't'i puuk' k'a'we úsuka hiya' ya'ewuna, 500 a'kaf' uta pu'kithna káhya'c'a."
llevar,nuytandy-
arrancar,chucuete-
despreciado,yaatseni
echar los cimientos,caachinda'j-
dar vuelta,tandy-
costoso,wala pa'gasa
corteza,fytúu cja'ty
hacer pasar por,caauycjéu'j-
peine,quind
inferior,achamée ew
poderoso,"ájsa, ewusá, chjáchjasa"
(espacio) donde se reunen los representantes de arriba,"éete Yuwe Dukhsawe's"" pkhakhen'i"
toromonte,"turuc, buruc"
agudo,"zunz, zunzcué"
hermano,nyacj
picar,wa'ty-
atrapar,yajcy-
descomponerse,suwée-
zumbar,"zi'nzi-, sndaanda-"
antes,nyafíia'
mudar la piel,scuupy-
espíritu de difunto,taafiy
cabeza,"dyictjé, jycuet, tsúcj"
matón,piicje
cecina,chich ujndy
invisible,yafyte vyaasamée
poner sobre el hombro,jypeecypacy-
descender,quíj-
luna nueva,a'te luuch
frente,cnene
descargar,spajcy-
al lado de,"pucate, pucasu, ju'ng"
entregarse voluntariamente,paaya'ducj-
ida,"u'jwa'j, u'jni"
vendedor,tyweysá
apoyarse,pu'quitjée-
desenfundar,jycuutyi'j-
estar ocupado,"tjéyte ús-, tjéyte u'p-"
arepa,wa'ts
acompañar,pi'cyna u'j-
hacer la permanencia en la luz,eena' eena' kafi'ze'n'i
matar,icj-
huésped,paandeesa
chicha,beca
"Artículo 40. Todo ciudadano tiene derecho a participar en la conformación, ejercicio y control del poder político. Para hacer efectivo este derecho puede: 1. Elegir y ser elegido. 2. Tomar parte en elecciones, plebiscitos, referendos, consultas populares y otras formas de participación democrática. 3. Constituir partidos, movimientos y agrupaciones políticas sin limitación alguna: formar parte de ellos libremente y difundir sus ideas y programas. 4. Revocar el mandato de los elegidos en los casos y en la forma que establecen la Constitución y la ley. 5. Tener iniciativa en las corporaciones públicas. 6. Interponer acciones públicas en defensa de la Constitución y de la ley. 7. Acceder al desempeño de funciones y cargos públicos, salvo los colombianos, por nacimiento o por adopción, que tengan doble nacionalidad. La ley reglamentará esta excepción y determinará los casos a los cuales ha de aplicarse. Las autoridades garantizarán adecuada y efectiva participación de la mujer en los niveles decisorios de la Administración Pública.","F'i'n'i pe'la 40. Maa nasapa h'uka thé'na kabasa' c'hab wala itháasn'isu kwekwe's ipa'kana, ew thegna, ma'we v'itn'isupa u'kawa' hi'pa'. K'su' na'wesu tuduya' ewuwa'ha': 1. Kwekwe ki'pya', meec'a' ki'pn'iyuuya'. 2. Npicthé'sa' kihy yuuwa' úste' c'hab wala's h'ukay pkhakhc'a papeyina, ha'dac'ac'a yahk'mete'; k'te kt'hit'hi'hi hi'pa'. Kihy yuuwa' úste' npicthé'we's' c'hab wala's ya'papehyte' K'a t'hit'hite' ih ya'úsuna: Kihy yuuya'pc'a npicthé'a' c'hab wala's ewuma'k ewumema'k hin'ima'kyuu. Ikahsa ec ma'we f'i'n'i ústepa c'hab wala hu'ghumesate' k'te ivituwa'ma'kyuu sa' iv'ituya' ya'ewuna. 3. C'hab wala ithiáasn'ite yahk'c'a yu'pkhakhewa' v'itya', kwekwe ipa'kana, peek' úuste u'kana, mhi's hwe pta's'na u'huya' ewuna, kimyuhpa yupn'ime. 4. Ec Ne'hwe's'te, Ec Ne'hwe's'hu yuhsate pu'kithc'a c'hab wala' npicthé' ki'pn'isat' k'a kwekwe's kha'khudeya' ewuna. 5. Ikahwa' v'itn'i kwekwesu úus ki'pna. 6. Maa nasapa h'ukay ikahsa Ec Ne'hwe's'a's Ec Ne'hwe's'hu yuhsa yuwe's nwe'wewa' hi'pta'. 7. Maa nasapa c'hab wala ikahn'i kwekwe's ipa'kac'a kwe's't'i nuyi'ya' ewuna. Napa naa Kulubya c'hab walahume yuhsa ayka f'i'zena k'ah' kiweka f'i'zena yuusa' kwe's't'i nuyi'ya' ewumena. I'nee Ec Ne'we's'hu yuhsa yuwe ku'le'teyu' mhiya' ewuna. Naa mhisu' u'ypa ikahwa' v'itn'i kwekwesu mtepa u'kakan npicthé'sawe's'a' pu'ze'het'na."
dormilón,denzh
hacer bajar,caaquíiji'j-
chiharra,"chawee, seccuet"
establecido para permanecer en transparencia,date iiswa' v'itn'i
cucaracha,sa'te
ponerse el sol,sec cjéj-
estar alentado,wét ús-
echar gotas,quityji-
apretado,zuuna'
dondequiera,"mteeva, mtee mteeva"
viejo,"tjé'j, tjé'cjué"
componerse,ewúu-
sacudir,cáwújw-
dejar robar,caapeswe'j-
limpiar mugre,jychanzha-
fermentar,pusúu-
yuca,"ña, yá"
envoltura,yap
hacer rezar,caalisa'j-
quemarse,shavy-
mazo,masu
guitarra,cytala
carne pulpa,chich tujnd
costura,catsni
tusa,"tymi, tywí"
muchísimo,seena' wala
tener sueño,deewéje-
imagen,piisanisa
"territorio propio de poder, mando indígena",nasasa kiwe
idioma páez,nasa yuwe
curandero,"yu'tsesa, pilwe'sh, tjé'j yu'tsesa"
permitir contestar,cpaasu'j-
añadir,shquitya-
diluvio,ñus pa'jni ícj
anochecer,shi'ndy-
enojo,úuschani
violento,juuna'
estiércol,ime
renacuajo,taacy wendy
muerto,"uusáa, uuní"
hipócrita,"áacjérráa ew we'wesa, úuste yu' ewmée yaacysa"
revés,tupy
PALABRAS DEL COORDINADOR DE LA TRADUCCIÓN A SIETE LENGUAS INDIGENAS,SIETE YUWE F'IIY F'IYSAT'I NUYKMAHI'SA WE'WEN'I
poner la mano encina de,peequinze-
tragar,jycjée-
maíz común,cutyj bej
comoquiera,ma'wéva
con,yacj
rápidamente,"dundtey, dundte"
roca,cuet peña
diente,qui'tj
hinchazón,tsu'vy
fallecer,uu-
ceniza,cjuuts
vivo,ítyí
"quien, ¿quién?",quim
muy,"wala, iiméj"
juntarse,"pcjaacje-, peecjacje-"
cocinar yerba,cujya-
alfiler,putsu
bulto,tamby
antebrazo,cuse pil
unir,"púpy-, yuutya-"
aunque,"-rrava,-teva"
murciélago,cjítse
remover,waawa'j-
corteza,cja'ty
harina,ú'wé
curva,ta'ngu
(cuerpo)poder del gran pueblo de un territorio grande,C'hab wala kiwete ikahsa
piedra,cuet
cuchara,cunzha
piedra,shúucuet
"tanto, tan","tyacue, nacue"
marchitar,fíi-
quemar,camb-
sobrar,tjaacue-
punta,vits
guarapería,beca yat
tocar flauta,cuvy-
pegar,pápa-
malicia,ewmée yaacyni
zanja,chamba
verdad,isa
impartir,cu'w-
amor,"peeygámni, peeygáaweete, peeygáawa'j"
necesitar,"pejy-, jypeejy-"
quebrarse,"chcate-, upe-"
mar,ícj wala
fatigar,cwaatyi'j-
cardar,"cjas shunde-, cjaasu'j"
asiento,cachni
hacer golpear,quiica'j-
grave,tjacue
mirar,"pagay-, pagayu'yu-"
partera,"tuty jya'ndysa, nasa spaacysa"
plantarse,pu'quitj-
ablandar,"luupe'j-, nuylupe-"
derrumbarse,umbu-
pecar,"ewmée yuu-, pcalte wete-"
lamentar,ñus we'we-
pintado,bite
palpar,"jya'ndy-, jya'ndyi'ndyi-"
posada,"paandee yat, pa'j yat"
gorgorearse,chicáa-
juntar,"pcjacj-, utya-"
columna vertebral,tsinz zec
ahogar,caaúuspa'j-
polvo,cytá'tujnd
morar,u'pu-
acostar,cdeeje'j-
lavar,tjetj-
un rato,úuchcue
alero,yat menz
montura,wa'ta
inútil,seelpimeesa
flotar,enda-
cucarachero,meechica
alto,"wala, jyu'j"
hambre,wéjé en
tener sed,yú'wéje-
bromear,"shaacue we'we-, pjay we'we-"
vivir,"fi'nze-, ya'fi'nze-, ítyí fi'nze"
lezna,pundúu
"borde, al borde de",putste
tamaño,tyacjuey
dar paliza,"papa-, pecue-, pecue'cue-"
"cuñada o cuñado(m,f)",ntsu'wa
esconderse,jysúutj-
es muy grato,wala wecha yuja'
hacer rayas,peendu'j-
corcovear,vitu'tu-
formar granos,wá'ji-
Palabra de Dios,Dyus yuwe
glotón,"pú'we, ú'shic"
nombre,"yase, yese"
dar posada,yata's pqui'j-
manteca,mdeegá
tejido,umnisa
menstruar,cacue yu' vyaa-
retoñar,culúu-
sapo,sap
segundo,e'nztewe'sh
escrito,fi'jni
CESAR GAVIRIA TRUJILLO,CESAR GAVIRIA TRUJILLO
maíz blanco,cutyj chijme
hartar,cuuta'j-
ser llamado,ya'yaase-
inyectar,inyección qui'p-
desechar una acusación,"jycja'ctende-, jycja'cunde-"
"Mosoco, Septiembre 30 de 1993","Musukwe, Septiembre a'te 30 1993te."
descendente,ji'j
vender,puuty ya'tywey-
"mí, mis","andy, ú'cue"
regañar,ícy-
henderse,"pjaate-, pjaatete-"
feroz,weeswée
queso,quisu
fumar,wájy chanzháa-
durazno,lashnu
codo,finzha
poner falda,íis-
ampliar,nuywala-
empujar,"cháty-, upacy-, upagacy-, upagaqui'cy"
presentar queja,páatyjí'cj-
chuleo,"cuetpúts, vyuutyjá'"
chamuscar,cnzeevy-
derrumbar,a'mbande-
